Fecha UTC,T_Amb_Avg,H_Relat_Avg,Rad_Glob_Avg,Rad_Par_Avg,R_Neta_Avg,VPD_Avg,,
2011-06-10 16:30,25.06,47.26,620.8,966,1,1.667,,
2011-06-10 17:00,24.79,49.65,536.9,834,1,1.575,,
2011-06-10 17:30,24.26,50.83,435.1,669.6,1,1.49,,
2011-06-10 18:00,24.02,52.39,327.9,497,1,1.423,,
2011-06-10 18:30,23.41,55.99,235.8,346.6,1,1.267,,
2011-06-10 19:00,22.67,59.15,127.3,181.6,1,1.125,,
2011-06-10 19:30,21.84,62.83,47.66,63.13,1,0.973,,
2011-06-10 20:00,21.06,66.03,6.075,8.77,-1,0.848,,
2011-06-10 20:30,20.39,69.69,0.139,0.155,-1,0.726,,
2011-06-10 21:00,19.8,73.33,0,0,-1,0.616,,
2011-06-10 21:30,19.45,75.2,0,0,-1,0.56,,
2011-06-10 22:00,19.04,76.92,0,0,-1,0.508,,
2011-06-10 22:30,18.56,79.53,0,0,-1,0.438,,
2011-06-10 23:00,18.02,81.6,0,0,-1,0.38,,
2011-06-10 23:30,17.69,82.3,0,0,-1,0.357,,
2011-06-11 0:00,17.63,82.8,0,0,-1,0.346,,
2011-06-11 0:30,17.44,83.8,0,0,-1,0.323,,
2011-06-11 1:00,17.19,84.7,0,0,-1,0.3,,
2011-06-11 1:30,16.74,85.6,0,0,-1,0.274,,
2011-06-11 2:00,16.39,86.5,0,0,-1,0.252,,
2011-06-11 2:30,15.56,87.3,0,0,-1,0.224,,
2011-06-11 3:00,15.1,88.4,0,0,-1,0.198,,
2011-06-11 3:30,14.8,88.9,0,0,-1,0.187,,
2011-06-11 4:00,14.34,89.4,0,0,-1,0.173,,
2011-06-11 4:30,14.03,89.9,0,0,-1,0.161,,
2011-06-11 5:00,13.78,90.3,0.432,0.877,-1,0.153,,
2011-06-11 5:30,13.66,90.5,13.92,21.82,-1,0.148,,
2011-06-11 6:00,14.14,90.3,85.9,127.4,1,0.156,,
2011-06-11 6:30,15.36,87.9,146,238.3,1,0.211,,
2011-06-11 7:00,16.2,84.1,228.3,396.5,1,0.294,,
2011-06-11 7:30,17.78,78.75,304.8,502.2,1,0.434,,
2011-06-11 8:00,19.86,73.53,456.9,738.3,1,0.615,,
2011-06-11 8:30,21.06,69.68,540,872,1,0.757,,
2011-06-11 9:00,21.73,65.31,635.3,1023,1,0.902,,
2011-06-11 9:30,22.68,61.28,727,1167,1,1.068,,
2011-06-11 10:00,23.91,56.42,838,1336,1,1.294,,
2011-06-11 10:30,24.59,51.61,897,1427,1,1.496,,
2011-06-11 11:00,25.65,48.63,937,1483,1,1.692,,
2011-06-11 11:30,26.35,45.12,980,1545,1,1.884,,
2011-06-11 12:00,27.01,40.31,1019,1599,1,2.13,,
2011-06-11 12:30,27.71,36.54,1022,1601,1,2.358,,
2011-06-11 13:00,28.08,33.53,1039,1623,1,2.525,,
2011-06-11 13:30,28.42,32.47,1024,1597,1,2.616,,
2011-06-11 14:00,28.89,30.88,987,1538,1,2.75,,
2011-06-11 14:30,29.17,30.78,929,1449,1,2.801,,
2011-06-11 15:00,29.37,30.3,871,1360,1,2.852,,
2011-06-11 15:30,29.9,29.23,802,1249,1,2.986,,
2011-06-11 16:00,30.05,28.66,717.8,1116,1,3.036,,
2011-06-11 16:30,30.31,28.65,620.3,963,1,3.081,,
2011-06-11 17:00,30.14,28.47,502.9,776.6,1,3.059,,
2011-06-11 17:30,30.43,27.15,435.4,662.4,1,3.169,,
2011-06-11 18:00,30.29,26.45,318.3,478.5,1,3.172,,
2011-06-11 18:30,30.29,26.01,218.1,320.1,1,3.191,,
2011-06-11 19:00,30.16,27.17,124.3,178.1,1,3.121,,
2011-06-11 19:30,28.41,34.19,52.86,70.23,1,2.555,,
2011-06-11 20:00,26.44,40.54,6.069,8.94,1,2.052,,
2011-06-11 20:30,25.48,41.48,0.152,0.278,1,1.907,,
2011-06-11 21:00,24.48,42.6,0,0.031,1,1.763,,
2011-06-11 21:30,23.47,45.34,0,0.01,1,1.581,,
2011-06-11 22:00,22.13,50.06,0,0.001,-1,1.331,,
2011-06-11 22:30,21.31,58.11,0,0.001,-1,1.063,,
2011-06-11 23:00,20.52,62.78,0,0,-1,0.899,,
2011-06-11 23:30,20,62.58,0,0,-1,0.874,,
2011-06-12 0:00,19.7,62.6,0,0,-1,0.858,,
2011-06-12 0:30,19.35,63.4,0,0,-1,0.822,,
2011-06-12 1:00,19.2,62.82,0,0,-1,0.827,,
2011-06-12 1:30,19.06,61.68,0,0,-1,0.845,,
2011-06-12 2:00,18.85,62.18,0,0,-1,0.824,,
2011-06-12 2:30,18.07,66.49,0,0,-1,0.695,,
2011-06-12 3:00,17.24,72.53,0,0,-1,0.54,,
2011-06-12 3:30,16.83,73.49,0,0,-1,0.508,,
2011-06-12 4:00,15.98,77.48,0,0,-1,0.409,,
2011-06-12 4:30,15.84,78.08,0,0,-1,0.394,,
2011-06-12 5:00,16.26,75.55,1.122,1.318,-1,0.452,,
2011-06-12 5:30,15.85,77.96,21.33,31.35,-1,0.397,,
2011-06-12 6:00,16.1,78.74,67.09,106.7,1,0.389,,
2011-06-12 6:30,17.25,74.09,151.5,241.8,1,0.511,,
2011-06-12 7:00,18.82,68.14,225.9,367.2,1,0.693,,
2011-06-12 7:30,20.65,60.85,359,583.1,1,0.953,,
2011-06-12 8:00,22.24,56.34,477.9,774.2,1,1.172,,
2011-06-12 8:30,23.58,51.9,579.3,935,1,1.4,,
