Fecha,DDA,Precipitación,Eto,Riego Control (L árbol-1 día-1),Riego 45RDI-CC (L árbol-1 día-1),Riego 45RDI-PB (L árbol-1 día-1)
2014-04-01,91,0,5.1,,,
2014-04-02,92,0,1.8,,,
2014-04-03,93,0,1.8,,,
2014-04-04,94,0,2.9,,,
2014-04-05,95,1.386,2.8,,,
2014-04-06,96,5.742,4.2,,,
2014-04-07,97,7.326,4.3,,,
2014-04-08,98,3.96,4.7,,,
2014-04-09,99,0,3.9,10.14,11.89,13.67
2014-04-10,100,0,4.7,10.14,11.89,13.67
2014-04-11,101,0,5.6,10.14,11.89,13.67
2014-04-12,102,0,2.4,10.14,11.89,13.67
2014-04-13,103,0,5.1,10.14,11.89,13.67
2014-04-14,104,0,4.8,10.14,11.89,13.67
2014-04-15,105,0,4.1,10.14,11.89,13.67
2014-04-16,106,0,4.1,,,
2014-04-17,107,0,5.6,10.14,11.89,13.67
2014-04-18,108,0,4,,,
2014-04-19,109,0,2.6,10.14,11.89,13.67
2014-04-20,110,0,1.8,,,
2014-04-21,111,0,1.3,10.14,11.89,13.67
2014-04-22,112,0,4.1,,,
2014-04-23,113,0,4,,,
2014-04-24,114,0,4.2,,,
2014-04-25,115,0,4.2,,,
2014-04-26,116,0,4.5,7.84,12.14,10.3
2014-04-27,117,0,4.9,,,
2014-04-28,118,0,5,7.84,12.14,10.3
2014-04-29,119,0,5.3,12.77,,
2014-04-30,120,0,5.4,,,
2014-05-01,121,0,5.5,12.77,12.99,15.17
2014-05-02,122,0,6.1,,,
2014-05-03,123,0,6,12.77,12.99,15.17
2014-05-04,124,0,5.4,12.77,12.99,15.14
2014-05-05,125,0,5.4,,,
2014-05-06,126,0,5.7,16.92,16.46,17.57
2014-05-07,127,0,5.7,16.92,16.46,17.57
2014-05-08,128,0,6,16.92,16.46,17.57
2014-05-09,129,0,5.5,16.92,16.46,17.57
2014-05-10,130,0,5.6,16.92,16.46,17.57
2014-05-11,131,0,6.1,16.92,16.46,17.57
2014-05-12,132,0,6.5,16.92,16.46,17.57
2014-05-13,133,0,6.6,18.31,,
2014-05-14,134,0,5.6,,,
2014-05-15,135,0,5.6,18.31,19.83,13.57
2014-05-16,136,0,5.4,,,
2014-05-17,137,0,5.5,18.31,,13.57
2014-05-18,138,0,5.4,18.31,,13.57
2014-05-19,139,0,5.2,,,
2014-05-20,140,0,4.2,17.69,,
2014-05-21,141,0,4,,,
2014-05-22,142,0,4.8,17.69,,
2014-05-23,143,0,4.4,,,
2014-05-24,144,0,5.2,17.69,,
2014-05-25,145,0,5.2,17.69,,
2014-05-26,146,0,5.5,,,
2014-05-27,147,0,5.4,18.24,,
2014-05-28,148,0,4.6,,,
2014-05-29,149,0,5.6,18.24,14.38,14.86
2014-05-30,150,0,5.8,,,
