Fecha UTC,T_Amb_Avg,H_Relat_Avg,Rad_Glob_Avg,Rad_Par_Avg,R_Neta_Avg,VPD_Avg,Precipitaciones
2014-04-01 0:00,14.32,67.75,0,0,-20.69,0.526,0
2014-04-01 0:30,14.26,69.23,0,0,-8.9,0.5,0
2014-04-01 1:00,14.38,70.22,0,0,-17.52,0.488,0
2014-04-01 1:30,14.61,70.31,0,0,-27.13,0.493,0
2014-04-01 2:00,14.49,72.31,0,0,-34.76,0.457,0
2014-04-01 2:30,14.2,72,0,0,-32.16,0.453,0
2014-04-01 3:00,14.35,70.62,0,0,-33.83,0.48,0
2014-04-01 3:30,14.36,73.22,0,0,-40.1,0.438,0
2014-04-01 4:00,14.49,74.35,0,0,-37.33,0.423,0
2014-04-01 4:30,14.34,75.84,0,0,-38.32,0.395,0
2014-04-01 5:00,14.23,77.29,0,0,-23.57,0.368,0
2014-04-01 5:30,14.44,77.32,0,0,-15.19,0.373,0
2014-04-01 6:00,14.32,77.67,0.052,0.155,-31.9,0.364,0
2014-04-01 6:30,14.21,77.7,3.881,8.72,-28.09,0.361,0
2014-04-01 7:00,14.48,76.24,37.38,72.39,-5.859,0.392,0
2014-04-01 7:30,15.01,73.56,61.8,122.4,10.16,0.451,0
2014-04-01 8:00,15.3,72.42,88.2,177.1,26.89,0.479,0
2014-04-01 8:30,15.95,69.44,182,377.1,85.5,0.554,0
2014-04-01 9:00,16.69,65.16,202.3,422.2,95.8,0.662,0
2014-04-01 9:30,17.31,61.11,298.8,616.4,161.5,0.768,0
2014-04-01 10:00,18.49,56.33,528.1,1054,330.4,0.93,0
2014-04-01 10:30,19.41,53.23,614.9,1214,377.1,1.054,0
2014-04-01 11:00,20.01,51.1,689.4,1366,415.8,1.144,0
2014-04-01 11:30,20.46,50.11,637,1275,371.7,1.2,0
2014-04-01 12:00,20.77,49.72,732.3,1469,433.3,1.233,0
2014-04-01 12:30,21.2,48.42,828,1668,483.5,1.299,0
2014-04-01 13:00,21.3,48.33,690.3,1404,393,1.308,0
2014-04-01 13:30,21.51,47.06,602.5,1237,336.6,1.358,0
2014-04-01 14:00,21.71,46.94,596.7,1223,328.8,1.377,0
2014-04-01 14:30,21.56,46.89,457.8,941,244.3,1.367,0
2014-04-01 15:00,21.86,44.12,472.7,968,234.8,1.465,0
2014-04-01 15:30,21.45,45.41,376.7,780.2,171.9,1.395,0
2014-04-01 16:00,21.02,46.2,297.8,620.9,125.4,1.339,0
2014-04-01 16:30,20.4,47.66,207.4,438.7,70.09,1.254,0
2014-04-01 17:00,19.84,48.17,188.8,390.7,62.9,1.199,0
2014-04-01 17:30,19.27,48.99,138.2,285.2,28.27,1.139,0
2014-04-01 18:00,18.91,47.04,59.99,124.8,-13.62,1.157,0
2014-04-01 18:30,18.69,45.41,27.78,53.77,-28.13,1.176,0
2014-04-01 19:00,18.02,48.5,5.108,9.95,-43.38,1.065,0
2014-04-01 19:30,17.18,53.24,0.055,0.122,-48.75,0.916,0
2014-04-01 20:00,16.65,56.91,0,0,-55.71,0.816,0
2014-04-01 20:30,16.04,61.64,0,0,-59.14,0.699,0
2014-04-01 21:00,15.47,65,0,0,-54.93,0.615,0
2014-04-01 21:30,15.7,61.55,0,0,-30.79,0.686,0
2014-04-01 22:00,16.05,58.33,0,0,-19.93,0.76,0
2014-04-01 22:30,15.83,59.88,0,0,-21.05,0.721,0
2014-04-01 23:00,15.52,62.56,0,0,-43.18,0.66,0
2014-04-01 23:30,15.11,66.4,0,0,-29.23,0.577,0
2014-04-02 0:00,15,67.97,0,0,-18.25,0.546,0
2014-04-02 0:30,14.88,70.66,0,0,-21.58,0.496,0
2014-04-02 1:00,14.82,72.79,0,0,-32.95,0.458,0
2014-04-02 1:30,14.62,74.86,0,0,-28.35,0.418,0
2014-04-02 2:00,14.69,75.12,0,0,-24.11,0.416,0
2014-04-02 2:30,14.86,75.08,0,0,-16.23,0.421,0
2014-04-02 3:00,14.58,79.16,0,0,-44.53,0.35,0
2014-04-02 3:30,12.96,97,0,0,-27.13,0.045,0
2014-04-02 4:00,12.5,99.7,0,0,-34.48,0.005,0
2014-04-02 4:30,12.12,99.8,0,0,-24.7,0.003,0
2014-04-02 5:00,12.66,100,0,0,-30.97,0,0
2014-04-02 5:30,12.28,99.6,0,0,-41.29,0.006,0
2014-04-02 6:00,11.96,98.8,0,0.04,-43.39,0.016,0
2014-04-02 6:30,11.8,98.9,1.758,4.502,-41.13,0.015,0
2014-04-02 7:00,11.96,99.8,12.33,24.51,-12.55,0.003,0
2014-04-02 7:30,12.07,99.5,35.3,70.16,-5.57,0.007,0
2014-04-02 8:00,12.27,98.8,81.3,169.4,27.4,0.017,0
2014-04-02 8:30,12.77,96.6,151.1,299.7,73.49,0.051,0
2014-04-02 9:00,13.5,92.8,227.4,460.8,135.3,0.112,0
2014-04-02 9:30,13.72,92.1,164.3,333.6,36.72,0.124,0
2014-04-02 10:00,13.65,93.2,207.4,427.4,51.9,0.106,0
2014-04-02 10:30,14.06,93.7,272.8,532.6,113,0.102,0
2014-04-02 11:00,15.27,79.48,382.8,804,225.5,0.356,0
2014-04-02 11:30,13.72,91.8,176.9,367.8,50.32,0.14,0
2014-04-02 12:00,12.84,99.6,193.8,403.3,78.57,0.006,0
2014-04-02 12:30,12.73,99.7,129.3,275.9,32.22,0.005,0
2014-04-02 13:00,12.83,95.4,363.7,759.5,193.1,0.069,0
2014-04-02 13:30,14.1,90.9,357.8,729.7,166.4,0.151,0
2014-04-02 14:00,14.43,91.1,640.9,1339,385.1,0.146,0
2014-04-02 14:30,13.72,91.9,189.8,389.4,64.83,0.13,0
2014-04-02 15:00,13.11,92.8,159,324.3,60.01,0.109,0
2014-04-02 15:30,13.59,96.3,186.8,388.3,93.4,0.058,0
2014-04-02 16:00,13.19,89.6,290.9,603.3,129.1,0.158,0
2014-04-02 16:30,13.48,90.3,211.8,447.6,91.1,0.15,0
2014-04-02 17:00,12.87,97.5,125.9,246,26.15,0.037,0
2014-04-02 17:30,13.3,94.3,223.3,445.6,86.2,0.086,0
2014-04-02 18:00,13.37,92.4,93.7,194.6,20.65,0.116,0
2014-04-02 18:30,12.88,95.4,27.84,58.71,-30.01,0.069,0
2014-04-02 19:00,12.6,95.8,12.29,19.98,-43.43,0.062,0
