Fecha,TDV Control1,TDV Control2,TDV 45RDI-PB1,TDV 45RDI-PB2,TDV 45RDI-CC1,TDV 45RDI-CC2
2015-06-03 0:00,0,0,42158,0,0,0
2015-06-03 0:15,8.3,,42158,8.3,7.9,-2
2015-06-03 0:30,12.2,5.8,42158,12.2,11.5,-6
2015-06-03 0:45,17.5,,42158,17.5,9.7,-2.6
2015-06-03 1:00,23.9,11.6,42158,23.9,16.4,-1.2
2015-06-03 1:15,28.4,,42158.1,28.4,19.5,4
2015-06-03 1:30,33,34.7,42158.1,33,23.1,6
2015-06-03 1:45,27.8,,42158.1,27.8,23.7,7.3
2015-06-03 2:00,37.5,32.8,42158.1,37.5,27.9,16.6
2015-06-03 2:15,38.8,,42158.1,38.8,24.2,12.7
2015-06-03 2:30,43.3,34.7,42158.1,43.3,24.9,11.9
2015-06-03 2:45,44,,42158.1,44,24.9,13.9
2015-06-03 3:00,43.3,36.6,42158.1,43.3,24.9,7.3
2015-06-03 3:15,42.7,,42158.1,42.7,26.7,4
2015-06-03 3:30,42.7,34.7,42158.1,42.7,28.5,6.7
2015-06-03 3:45,46.6,,42158.2,46.6,31.5,8.7
2015-06-03 4:00,51.7,38.6,42158.2,51.7,34,11.3
2015-06-03 4:15,53.7,,42158.2,53.7,35.1,11.3
2015-06-03 4:30,58.3,46.3,42158.2,58.3,35.1,7.3
2015-06-03 4:45,56.3,,42158.2,56.3,35.8,11.3
2015-06-03 5:00,60.2,46.3,42158.2,60.2,35.1,11.3
2015-06-03 5:15,61.4,,42158.2,61.4,36.4,11.9
2015-06-03 5:30,62.8,42.4,42158.2,62.8,34,19.9
2015-06-03 5:45,62.8,,42158.2,62.8,34.6,19.9
2015-06-03 6:00,60.2,38.6,42158.2,60.2,29.7,17.2
2015-06-03 6:15,49.8,,42158.3,49.8,23.1,11.3
2015-06-03 6:30,47.2,42.4,42158.3,47.2,11.5,13.3
2015-06-03 6:45,48.6,,42158.3,48.6,2.4,13.9
2015-06-03 7:00,42,30.9,42158.3,42,-5.4,6
2015-06-03 7:15,33,,42158.3,33,-21.2,9.9
2015-06-03 7:30,21.3,9.7,42158.3,21.3,-40.6,5.3
2015-06-03 7:45,5.1,,42158.3,5.1,-57.6,-4.6
2015-06-03 8:00,-10.5,-15.4,42158.3,-10.5,-81.8,-10.6
2015-06-03 8:15,-29.9,,42158.3,-29.9,-101.2,-21.1
2015-06-03 8:30,-46.1,-42.3,42158.4,-46.1,-107.3,-43.7
2015-06-03 8:45,-73.9,,42158.4,-73.9,-118.2,-51.6
2015-06-03 9:00,-102.5,-65.4,42158.4,-102.5,-124.9,-71.5
2015-06-03 9:15,-121.3,,42158.4,-121.3,-132.7,-74.1
2015-06-03 9:30,-133,-71.2,42158.4,-133,-136.9,-74.7
2015-06-03 9:45,-141.3,,42158.4,-141.3,-153.3,-70.1
2015-06-03 10:00,-143.9,-98.2,42158.4,-143.9,-174,-80.1
2015-06-03 10:15,-151.1,,42158.4,-151.1,-196.4,-83.4
2015-06-03 10:30,-167.2,-123.2,42158.4,-167.2,-207.8,-93.3
2015-06-03 10:45,-183.5,,42158.4,-183.5,-224.2,-99.9
2015-06-03 11:00,-194.4,-169.5,42158.5,-194.4,-239.4,-111.8
2015-06-03 11:15,-207.4,,42158.5,-207.4,-252.7,-123.8
2015-06-03 11:30,-222.4,-204.1,42158.5,-222.4,-264.9,-132.3
2015-06-03 11:45,-241.1,,42158.5,-241.1,-280,-149.6
2015-06-03 12:00,-256.7,-260,42158.5,-256.7,-290.4,-156.9
2015-06-03 12:15,-274.9,,42158.5,-274.9,-306,-162.1
2015-06-03 12:30,-295.5,-308.1,42158.5,-295.5,-321.3,-175.4
2015-06-03 12:45,-316.9,,42158.5,-316.9,-337.6,-180.7
2015-06-03 13:00,-337.7,-354.4,42158.5,-337.7,-358.2,-195.2
2015-06-03 13:15,-354.6,,42158.6,-354.6,-371.5,-202.6
2015-06-03 13:30,-377.2,-394.8,42158.6,-377.2,-392.2,-209.8
