Fecha,TDV Control-2L_1,TDV Control-2L_2,TDV 45SDI-2L_1,TDV 45SDI-2L_2,
2016-04-30 0:00,0.0,0.0,0.0,0.0,
2016-04-30 0:15,3.0,-3.3,4.4,2.0,
2016-04-30 0:30,3.7,3.1,0.6,4.6,
2016-04-30 0:45,6.2,4.4,7.6,2.0,
2016-04-30 1:00,6.2,3.8,7.0,3.4,
2016-04-30 1:15,9.9,5.8,7.0,6.0,
2016-04-30 1:30,10.5,7.7,10.1,8.6,
2016-04-30 1:45,13.0,7.0,8.2,9.4,
2016-04-30 2:00,13.6,12.7,13.4,9.4,
2016-04-30 2:15,16.0,12.1,14.7,13.4,
2016-04-30 2:30,16.7,17.3,15.3,14.6,
2016-04-30 2:45,18.6,14.7,20.4,18.6,
2016-04-30 3:00,21.6,18.5,21.0,22.6,
2016-04-30 3:15,26.6,20.4,23.5,24.6,
2016-04-30 3:30,29.0,26.2,26.7,26.6,
2016-04-30 3:45,32.1,29.5,29.9,29.4,
2016-04-30 4:00,36.4,30.1,31.8,32.6,
2016-04-30 4:15,39.0,32.0,31.1,34.0,
2016-04-30 4:30,40.8,35.8,37.6,37.4,
2016-04-30 4:45,42.7,35.8,39.5,37.4,
2016-04-30 5:00,48.2,37.8,42.6,39.4,
2016-04-30 5:15,47.5,37.2,44.5,44.0,
2016-04-30 5:30,50.7,41.6,49.6,47.4,
2016-04-30 5:45,51.9,45.5,48.3,52.0,
2016-04-30 6:00,58.1,50.1,52.8,56.0,
2016-04-30 6:15,59.9,53.9,57.8,57.4,
2016-04-30 6:30,64.9,56.4,57.8,58.0,
2016-04-30 6:45,68.6,64.7,59.1,60.0,
2016-04-30 7:00,72.3,67.4,64.3,64.0,
2016-04-30 7:15,71.6,71.2,61.0,60.0,
2016-04-30 7:30,69.8,73.8,54.0,51.4,
2016-04-30 7:45,68.6,77.6,48.3,49.4,
2016-04-30 8:00,57.5,72.4,36.8,36.0,
2016-04-30 8:15,49.4,66.7,25.4,24.0,
2016-04-30 8:30,38.3,62.2,4.4,6.6,
2016-04-30 8:45,24.1,55.1,-11.4,-2.6,
2016-04-30 9:00,11.7,52.6,-26.1,-9.4,
2016-04-30 9:15,-4.4,44.3,-36.2,-10.0,
2016-04-30 9:30,-16.1,32.7,-43.3,-12.6,
2016-04-30 9:45,-25.4,30.8,-49.6,-13.4,
2016-04-30 10:00,-34.0,19.8,-47.1,-14.0,
2016-04-30 10:15,-43.3,17.3,-47.1,-8.6,
2016-04-30 10:30,-42.6,16.0,-45.2,-10.0,
2016-04-30 10:45,-51.9,13.5,-50.2,-14.6,
