Fecha,TDV Control_1,TDV Control_2,TDV Control_3,TDV RDI45_1,TDV RDI45_2,TDV RDI45_3,TDV RDI30_1,TDV RDI30_2,TDV RDI30_3,TDV BOSCH_1,TDV BOSCH_2,TDV BOSCH_3
2019-04-17 0:00,0,,0,0,,0,0,,0,0,,0
2019-04-17 0:15,8.306,,5.26064,4.93064,,7.4976,5.22176,,6.2528,6.5272,,6.5272
2019-04-17 0:30,14.28632,,10.52128,10.24056,,12.496,10.44352,,12.5056,9.7908,,13.0544
2019-04-17 0:45,19.9344,,15.5428,14.79192,,17.4944,15.66528,,18.7584,13.0544,,19.5816
2019-04-17 1:00,25.58248,,20.3252,19.72256,,24.992,20.23432,,21.8848,16.318,,26.1088
2019-04-17 1:15,29.9016,,24.15112,24.6532,,27.4912,24.80336,,28.1376,22.8452,,32.636
2019-04-17 1:30,34.8852,,27.97704,29.58384,,32.4896,28.71968,,31.264,26.1088,,35.8996
2019-04-17 1:45,38.87208,,31.0856,32.99736,,34.9888,32.636,,34.3904,26.1088,,42.4268
2019-04-17 2:00,42.19448,,33.71592,36.0316,,39.9872,35.24688,,37.5168,29.3724,,45.6904
2019-04-17 2:15,45.84912,,35.868,39.06584,,42.4864,37.85776,,40.6432,32.636,,45.6904
2019-04-17 2:30,48.1748,,38.02008,41.34152,,44.9856,39.81592,,43.7696,32.636,,48.954
2019-04-17 2:45,50.83272,,39.93304,43.99648,,47.4848,42.75316,,46.896,35.8996,,52.2176
2019-04-17 3:00,53.1584,,42.32424,46.65144,,49.984,43.73224,,46.896,39.1632,,55.4812
2019-04-17 3:15,57.14528,,43.75896,48.54784,,49.984,45.36404,,50.0224,39.1632,,58.7448
2019-04-17 3:30,58.80648,,45.67192,51.2028,,52.4832,46.66948,,53.1488,39.1632,,58.7448
2019-04-17 3:45,62.12888,,48.78048,53.85776,,54.9824,48.62764,,53.1488,42.4268,,62.0084
2019-04-17 4:00,64.12232,,50.69344,56.13344,,57.4816,50.5858,,56.2752,42.4268,,65.272
2019-04-17 4:15,65.78352,,52.6064,58.02984,,59.9808,51.56488,,56.2752,42.4268,,68.5356
2019-04-17 4:30,66.78024,,53.56288,59.16768,,59.9808,51.56488,,59.4016,45.6904,,68.5356
