Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,media
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.99,1,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.652505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.99,2,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.652505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.99,3,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.652505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.99,4,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.652505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.99,5,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.652505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.99,10,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.652505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.99,100,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.652505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.95,1,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.64583852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.95,2,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.64583852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.95,3,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.64583852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.95,4,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.64583852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.95,5,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.64583852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.95,10,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.64583852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.95,100,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.64583852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.9,1,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.637505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.9,2,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.637505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.9,3,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.637505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.9,4,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.637505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.9,5,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.637505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.9,10,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.637505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.9,100,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.637505187
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.8,1,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.62083852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.8,2,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.62083852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.8,3,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.62083852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.8,4,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.62083852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.8,5,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.62083852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.8,10,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.62083852
LTP Area_ma,"mean(LTP)-moving_avg(LTP,10D)",0.8,100,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.62083852
LTP Area_n0,mean(LTP)-LTP(00:00),0.99,1,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.519212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.99,2,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.519212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.99,3,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.519212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.99,4,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.519212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.99,5,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.519212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.99,10,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.519212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.99,100,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.519212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.95,1,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.512546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.95,2,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.512546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.95,3,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.512546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.95,4,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.512546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.95,5,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.512546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.95,10,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.512546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.95,100,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.512546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.9,1,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.504212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.9,2,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.504212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.9,3,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.504212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.9,4,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.504212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.9,5,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.504212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.9,10,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.504212833
LTP Area_n0,mean(LTP)-LTP(00:00),0.9,100,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.504212833
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.99,1,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.495060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.99,2,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.495060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.99,3,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.495060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.99,4,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.495060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.99,5,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.495060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.99,10,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.495060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.99,100,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.495060951
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.99,1,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.490653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.99,2,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.490653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.99,3,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.490653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.99,4,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.490653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.99,5,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.490653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.99,10,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.490653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.99,100,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.490653755
LTP Area_n0,mean(LTP)-LTP(00:00),0.8,1,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.487546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.8,2,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.487546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.8,3,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.487546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.8,4,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.487546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.8,5,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.487546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.8,10,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.487546166
LTP Area_n0,mean(LTP)-LTP(00:00),0.8,100,,,,,,0.733441409,0.960335974,-0.18305094,0.063987467,0.550563089,0.487546166
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.95,1,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.487060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.95,2,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.487060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.95,3,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.487060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.95,4,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.487060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.95,5,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.487060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.95,10,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.487060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.95,100,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.487060951
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.95,1,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.485653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.95,2,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.485653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.95,3,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.485653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.95,4,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.485653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.95,5,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.485653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.95,10,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.485653755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.95,100,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.485653755
LTP Min_n0,min(LTP)-LTP(00:00),0.99,1,,,,,,,,0.522799211,-0.070818508,,0.480660234
LTP Min_n0,min(LTP)-LTP(00:00),0.99,2,,,,,,,,0.522799211,-0.070818508,,0.480660234
LTP Min_n0,min(LTP)-LTP(00:00),0.99,3,,,,,,,,0.522799211,-0.070818508,,0.480660234
LTP Min_n0,min(LTP)-LTP(00:00),0.99,4,,,,,,,,0.522799211,-0.070818508,,0.480660234
LTP Min_n0,min(LTP)-LTP(00:00),0.99,5,,,,,,,,0.522799211,-0.070818508,,0.480660234
LTP Min_n0,min(LTP)-LTP(00:00),0.99,10,,,,,,,,0.522799211,-0.070818508,,0.480660234
LTP Min_n0,min(LTP)-LTP(00:00),0.99,100,,,,,,,,0.522799211,-0.070818508,,0.480660234
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.9,1,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.479403755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.9,2,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.479403755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.9,3,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.479403755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.9,4,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.479403755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.9,5,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.479403755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.9,10,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.479403755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.9,100,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.479403755
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.9,1,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.477060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.9,2,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.477060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.9,3,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.477060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.9,4,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.477060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.9,5,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.477060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.9,10,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.477060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.9,100,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.477060951
LTP Min_n0,min(LTP)-LTP(00:00),0.95,1,,,,,,,,0.522799211,-0.070818508,,0.467326901
LTP Min_n0,min(LTP)-LTP(00:00),0.95,2,,,,,,,,0.522799211,-0.070818508,,0.467326901
LTP Min_n0,min(LTP)-LTP(00:00),0.95,3,,,,,,,,0.522799211,-0.070818508,,0.467326901
LTP Min_n0,min(LTP)-LTP(00:00),0.95,4,,,,,,,,0.522799211,-0.070818508,,0.467326901
LTP Min_n0,min(LTP)-LTP(00:00),0.95,5,,,,,,,,0.522799211,-0.070818508,,0.467326901
LTP Min_n0,min(LTP)-LTP(00:00),0.95,10,,,,,,,,0.522799211,-0.070818508,,0.467326901
LTP Min_n0,min(LTP)-LTP(00:00),0.95,100,,,,,,,,0.522799211,-0.070818508,,0.467326901
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.8,1,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.466903755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.8,2,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.466903755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.8,3,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.466903755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.8,4,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.466903755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.8,5,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.466903755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.8,10,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.466903755
LTP Max_ma,"max(LTP)-moving_avg(LTP,10D)",0.8,100,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.466903755
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.8,1,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.457060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.8,2,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.457060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.8,3,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.457060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.8,4,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.457060951
LTP diff_min,min(LTP(x)-LTP(x-1min)),0.8,5,,,,,0.107725702,,,0.534133224,0.212505272,0.630940559,0.457060951
