Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,media,media alta variabilidad
LTP diff_R_Neta_Avg_0.8_10,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.8,10,0.072533009,0.050199183,0.153882679,0.095193502,0.03991397,0.827657105,0.972355284,0.742785115,0.755262356,0.851646946,0.498766238,0.829941361
LTP diff_1h_0.8_3,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0.8,3,0.124233977,0.063802214,0.133304649,0.061107168,0.102085512,0.835206001,0.957881593,0.775551959,0.694356023,0.84657679,0.496652434,0.821914473
LTP diff_R_Neta_Avg_0.9_5,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.9,5,0.097022558,0.067458878,0.144935663,0.09067608,0.01142107,0.833689115,0.972219767,0.730167692,0.72500603,0.844715346,0.491143294,0.82115959
LTP diff_1h_0.9_3,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0.9,3,0.124730748,0.065754823,0.131220144,0.056625279,0.080477561,0.830891787,0.958313516,0.772003999,0.69225256,0.849817688,0.493039706,0.82065591
LTP diff_1h_0.8_4,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0.8,4,0.12551139,0.066417572,0.140631021,0.071015354,0.090300899,0.829928652,0.959149382,0.769825282,0.690339775,0.850781342,0.496487698,0.820004887
LTP diff_R_Neta_Avg_0.95_5,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.95,5,0.096194944,0.059733049,0.145204761,0.091446422,0.00066991,0.830688621,0.972336762,0.724440524,0.724181239,0.848376196,0.488564165,0.820004668
LTP diff_R_Neta_Avg_0.8_5,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.8,5,0.095850913,0.08212021,0.144310414,0.090477672,0.036036016,0.838626441,0.971110406,0.735252631,0.721033098,0.832282749,0.494583293,0.819661065
LTP diff_1h_0.95_3,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0.95,3,0.124856761,0.066625926,0.130295889,0.054734544,0.070301875,0.828605526,0.958366966,0.769835067,0.690504243,0.850331684,0.491066858,0.819528697
LTP diff_R_Neta_Avg_0.9_10,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.9,10,0.04816667,0.012815854,0.150298481,0.095228675,0.016309829,0.802334964,0.968769745,0.719726105,0.749165173,0.855578444,0.485580808,0.819114886
LTP diff_1h_0.99_3,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0.99,3,0.124905701,0.067273388,0.129608008,0.053371616,0.062499133,0.826740665,0.95834545,0.767955936,0.688838252,0.850292729,0.489436131,0.818434606
