Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,Global en validación
LTP Max_0.8_1,max(LTP),0.8,1,-0.03514583189797735,-0.09436727178466489,-0.08114719802509812,0.08652617069255326,0.1207753999002186,0.20149287244904715,0.15867438513545526,0.6606128668954006,0.4854293085619439,0.5182581529944172,0.23959647986755667
LTP Min_0.8_1,min(LTP),0.8,1,0.2203309734092232,0.15852463999772512,0.07249404841855557,0.10858138519256816,-0.034978451532252694,0.0992564926392755,-0.17865152492523242,0.7208260022502901,0.6258845720727889,0.8585589069871635,0.29845032245986564
LTP Area_0.8_1,mean(LTP),0.8,1,0.11569514222451822,0.07725514471168846,-0.03835565037645433,0.09885984885993462,0.06109409423653298,0.16122430389006642,0.014966456311893146,0.7078830564767356,0.691016554681,0.8526322393906217,0.30031001104712673
LTP Max_n0_0.8_1,max(LTP)-LTP(00:00),0.8,1,-0.1633655289416896,-0.13071994145020527,-0.10140989393094081,0.03175792678377713,0.02409747623122689,-0.4329835532048614,-0.6974783838885755,-0.3642526397837515,-0.5751044108164723,-0.8020235746812073,-0.2777615576047762
LTP Min_n0_0.8_1,min(LTP)-LTP(00:00),0.8,1,0.2648993447585348,0.2481071989862593,0.09180577021926649,-0.008000542419602163,-0.3285600233470077,-0.7242917354663799,-0.9130084147591225,-0.7335755391939477,-0.72009834771014,-0.7909283526610039,-0.37296126806289837
LTP Area_n0_0.8_1,mean(LTP)-LTP(00:00),0.8,1,-0.1317244751905658,-0.08340942939668136,-0.11440980259857685,-0.0027562964175784272,-0.06842743568679811,-0.7372608213432903,-0.910514632759369,-0.6821719468285099,-0.628775231720054,-0.8225653042292997,-0.41328987053264044
LTP Max_ma_0.8_1,"max(LTP)-moving_avg(LTP,10D)",0.8,1,-0.06647264167710137,-0.06144699963743313,-0.0734383090402786,0.08672860375087,0.10639766634067165,-0.02759067880928329,-0.12148903162642746,0.1833108026823128,-0.08801506806343128,-0.4758493648383221,0.006639983170042799
LTP Min_ma_0.8_1,"min(LTP)-moving_avg(LTP,10D)",0.8,1,0.3115188796804956,0.3152658177316558,0.13250619810983055,0.07305927669890906,0.2760210723007067,-0.3809116744050877,-0.6088532595240971,-0.2754624359886683,0.23321451178143882,0.3864472402248947,0.03646001084817729
LTP Area_ma_0.8_1,"mean(LTP)-moving_avg(LTP,10D)",0.8,1,0.1234757550433061,0.1576503645654601,0.05134135270531294,0.15969732900424827,0.37838219627173664,-0.35386859416845057,-0.6591473112720019,0.031211513633739443,0.26188295284802054,0.14891408566928138,0.07211668118393573
LTP Max_mnvu_0.8_1,(max(LTP)-mean(LTP))/var(LTP),0.8,1,0.275014346484526,0.1953497253234772,0.023691457586913257,0.06561731562400572,-0.11239168309956746,-0.1417809038370421,-0.16883665018704913,-0.18908731904122006,0.4605770331081254,0.7371901228053035,0.04369028792429877
