Fecha,P3 TDV Control (µm),P14 TDV Control (µm),P7 TDV 60RDI (µm),P9 TDV 60RDI (µm),P10 TDV 30RDI (µm),P11 TDV 30RDI (µm)
2011-06-12 00:00:33,0,0,0,0,0,0
2011-06-12 00:15:33,9.4,7.6,3.8,5.6,5.6,3.7
2011-06-12 00:30:33,1.9,11.4,11.3,11.3,7.5,11.1
2011-06-12 00:45:33,20.7,17,11.3,16.9,11.3,14.8
2011-06-12 01:00:33,33.9,22.7,15.1,20.7,13.2,16.6
2011-06-12 01:15:33,32,26.4,18.9,22.6,16.9,22.2
2011-06-12 01:30:33,64.1,30.2,20.7,28.2,15,25.9
2011-06-12 01:45:33,62.2,32.1,24.5,32,20.7,27.7
2011-06-12 02:00:33,49,35.9,26.4,33.9,20.7,31.4
2011-06-12 02:15:33,39.6,35.9,28.3,37.7,22.6,31.4
2011-06-12 02:30:33,43.3,39.6,26.4,39.5,22.6,35.1
2011-06-12 02:45:33,43.3,41.5,30.2,41.4,24.5,37
2011-06-12 03:00:33,50.9,43.4,32,43.3,24.5,38.8
2011-06-12 03:15:33,56.5,45.3,33.9,50.8,28.2,40.7
2011-06-12 03:30:33,58.4,50.9,37.7,54.6,30.1,44.4
2011-06-12 03:45:33,69.7,49.1,39.6,56.5,32,46.2
2011-06-12 04:00:33,75.4,54.7,39.6,58.4,32,49.9
2011-06-12 04:15:33,56.5,52.8,41.5,62.2,35.8,53.6
2011-06-12 04:30:33,62.2,56.6,41.5,65.9,35.8,51.8
2011-06-12 04:45:33,90.5,60.4,45.3,69.7,35.8,57.3
2011-06-12 05:00:33,84.8,62.2,45.3,73.5,37.7,64.7
2011-06-12 05:15:33,69.7,66,49,77.2,41.4,66.6
2011-06-12 05:30:33,94.2,69.8,52.8,82.9,45.2,74
2011-06-12 05:45:33,109.3,75.4,56.5,86.7,49,77.7
2011-06-12 06:00:33,84.8,75.4,60.3,86.7,50.9,79.5
2011-06-12 06:15:33,79.1,71.7,60.3,82.9,49,81.4
2011-06-12 06:30:33,67.8,62.2,52.8,73.5,43.3,74
2011-06-12 06:45:33,82.9,52.8,47.1,62.2,32,66.6
2011-06-12 07:00:33,56.5,39.6,43.4,56.5,22.6,62.9
2011-06-12 07:15:33,54.6,32.1,33.9,39.5,13.2,55.5
2011-06-12 07:30:33,35.8,20.8,26.4,20.7,-3.8,51.8
2011-06-12 07:45:33,24.5,3.8,20.7,0,-18.9,38.8
2011-06-12 08:00:33,11.3,-24.5,5.7,-18.9,-32.1,27.7
2011-06-12 08:15:33,-33.9,-54.6,-5.6,-49,-39.6,18.5
2011-06-12 08:30:33,-62.2,-77.2,-17,-69.8,-49,14.8
2011-06-12 08:45:33,-71.6,-99.8,-26.4,-88.6,-58.5,1.9
2011-06-12 09:00:33,-98,-120.6,-39.6,-103.7,-71.7,-12.9
2011-06-12 09:15:33,-118.7,-137.5,-52.8,-115,-86.7,-27.7
2011-06-12 09:30:33,-145.1,-158.3,-71.6,-132,-101.8,-49.9
2011-06-12 09:45:33,-154.6,-175.2,-94.2,-145.2,-116.9,-68.4
2011-06-12 10:00:33,-179.1,-190.3,-118.7,-162.1,-133.9,-85
2011-06-12 10:15:33,-211.1,-201.6,-150.8,-179.1,-152.7,-105.4
2011-06-12 10:30:33,-211.1,-214.8,-177.2,-197.9,-171.5,-125.7
2011-06-12 10:45:33,-241.3,-224.2,-211.1,-218.7,-190.4,-147.9
2011-06-12 11:00:33,-263.9,-235.5,-248.8,-237.5,-211.1,-171.9
2011-06-12 11:15:33,-277.1,-256.3,-277,-258.3,-231.9,-197.8
2011-06-12 11:30:33,-295.9,-263.8,-299.7,-280.9,-256.4,-216.3
2011-06-12 11:45:33,-305.3,-280.8,-316.6,-305.4,-286.5,-242.2
2011-06-12 12:00:33,-329.8,-292.1,-333.6,-329.9,-312.9,-268.1
2011-06-12 12:15:33,-322.3,-309.1,-350.5,-354.4,-346.8,-292.1
2011-06-12 12:30:33,-352.5,-324.1,-369.4,-375.1,-367.6,-316.1
2011-06-12 12:45:33,-354.3,-339.2,-386.4,-399.6,-390.2,-342
2011-06-12 13:00:33,-375.1,-348.6,-403.3,-418.5,-410.9,-366.1
2011-06-12 13:15:33,-384.5,-359.9,-412.7,-441.1,-427.9,-380.9
2011-06-12 13:30:33,-390.2,-371.2,-420.3,-467.5,-450.5,-397.5
2011-06-12 13:45:33,-403.3,-382.6,-437.3,-497.6,-482.5,-414.1
2011-06-12 14:00:33,-410.9,-393.9,-448.6,-529.7,-505.2,-434.5
2011-06-12 14:15:33,-418.4,-403.3,-456.1,-554.2,-522.1,-458.5
2011-06-12 14:30:33,-441,-414.6,-463.6,-582.4,-529.7,-473.3
