Fecha,T_Amb_Avg(ºC),H_Relat_Avg (%),Rad_Glob_Avg (W/m²),Rad_Par_Avg (µmol/m²/s),R_Neta_Avg (W/m²),VPD_Avg (kPa),Lluvia (mm)
2011-06-10 16:30:00.000,25.06,47.26,620.8,966.0,-377.3,1.667,0
2011-06-10 17:00:00.000,24.79,49.65,536.9,834.0,-375.1,1.575,0
2011-06-10 17:30:00.000,24.26,50.83,435.1,669.6,NAN,1.49,0
2011-06-10 18:00:00.000,24.02,52.39,327.9,497.0,-386.5,1.423,0
2011-06-10 18:30:00.000,23.41,55.99,235.8,346.6,NAN,1.267,0
2011-06-10 19:00:00.000,22.67,59.15,127.3,181.6,-388.1,1.125,0
2011-06-10 19:30:00.000,21.84,62.83,47.66,63.13,-372.9,0.973,0
2011-06-10 20:00:00.000,21.06,66.03,6.075,8.77,-391.1,0.848,0
2011-06-10 20:30:00.000,20.39,69.69,0.139,0.155,-391.3,0.726,0
2011-06-10 21:00:00.000,19.8,73.33,0.0,0.0,-393.7,0.616,0
2011-06-10 21:30:00.000,19.45,75.2,0.0,0.0,-372.7,0.56,0
2011-06-10 22:00:00.000,19.04,76.92,0.0,0.0,-391.6,0.508,0
2011-06-10 22:30:00.000,18.56,79.53,0.0,0.0,-389.4,0.438,0
2011-06-10 23:00:00.000,18.02,81.6,0.0,0.0,-411.2,0.38,0
2011-06-10 23:30:00.000,17.69,82.3,0.0,0.0,NAN,0.357,0
2011-06-11 00:00:00.000,17.63,82.8,0.0,0.0,NAN,0.346,0
2011-06-11 00:30:00.000,17.44,83.8,0.0,0.0,NAN,0.323,0
2011-06-11 01:00:00.000,17.19,84.7,0.0,0.0,-394.8,0.3,0
2011-06-11 01:30:00.000,16.74,85.6,0.0,0.0,NAN,0.274,0
2011-06-11 02:00:00.000,16.39,86.5,0.0,0.0,NAN,0.252,0
2011-06-11 02:30:00.000,15.56,87.3,0.0,0.0,NAN,0.224,0
2011-06-11 03:00:00.000,15.1,88.4,0.0,0.0,NAN,0.198,0
2011-06-11 03:30:00.000,14.8,88.9,0.0,0.0,NAN,0.187,0
2011-06-11 04:00:00.000,14.34,89.4,0.0,0.0,NAN,0.173,0
2011-06-11 04:30:00.000,14.03,89.9,0.0,0.0,NAN,0.161,0
2011-06-11 05:00:00.000,13.78,90.3,0.432,0.877,NAN,0.153,0
2011-06-11 05:30:00.000,13.66,90.5,13.92,21.82,NAN,0.148,0
2011-06-11 06:00:00.000,14.14,90.3,85.9,127.4,NAN,0.156,0
2011-06-11 06:30:00.000,15.36,87.9,146.0,238.3,NAN,0.211,0
2011-06-11 07:00:00.000,16.2,84.1,228.3,396.5,NAN,0.294,0
2011-06-11 07:30:00.000,17.78,78.75,304.8,502.2,NAN,0.434,0
2011-06-11 08:00:00.000,19.86,73.53,456.9,738.3,NAN,0.615,0
2011-06-11 08:30:00.000,21.06,69.68,540.0,872.0,NAN,0.757,0
2011-06-11 09:00:00.000,21.73,65.31,635.3,1023.0,NAN,0.902,0
2011-06-11 09:30:00.000,22.68,61.28,727.0,1167.0,-354.6,1.068,0
2011-06-11 10:00:00.000,23.91,56.42,838.0,1336.0,NAN,1.294,0
2011-06-11 10:30:00.000,24.59,51.61,897.0,1427.0,-379.5,1.496,0
2011-06-11 11:00:00.000,25.65,48.63,937.0,1483.0,NAN,1.692,0
2011-06-11 11:30:00.000,26.35,45.12,980.0,1545.0,NAN,1.884,0
2011-06-11 12:00:00.000,27.01,40.31,1019.0,1599.0,-379.5,2.13,0
2011-06-11 12:30:00.000,27.71,36.54,1022.0,1601.0,NAN,2.358,0
2011-06-11 13:00:00.000,28.08,33.53,1039.0,1623.0,NAN,2.525,0
2011-06-11 13:30:00.000,28.42,32.47,1024.0,1597.0,-392.2,2.616,0
2011-06-11 14:00:00.000,28.89,30.88,987.0,1538.0,NAN,2.75,0
2011-06-11 14:30:00.000,29.17,30.78,929.0,1449.0,NAN,2.801,0
2011-06-11 15:00:00.000,29.37,30.3,871.0,1360.0,NAN,2.852,0
2011-06-11 15:30:00.000,29.9,29.23,802.0,1249.0,NAN,2.986,0
2011-06-11 16:00:00.000,30.05,28.66,717.8,1116.0,NAN,3.036,0
2011-06-11 16:30:00.000,30.31,28.65,620.3,963.0,NAN,3.081,0
2011-06-11 17:00:00.000,30.14,28.47,502.9,776.6,-390.1,3.059,0
2011-06-11 17:30:00.000,30.43,27.15,435.4,662.4,NAN,3.169,0
2011-06-11 18:00:00.000,30.29,26.45,318.3,478.5,-389.4,3.172,0
2011-06-11 18:30:00.000,30.29,26.01,218.1,320.1,NAN,3.191,0
2011-06-11 19:00:00.000,30.16,27.17,124.3,178.1,NAN,3.121,0
2011-06-11 19:30:00.000,28.41,34.19,52.86,70.23,NAN,2.555,0
2011-06-11 20:00:00.000,26.44,40.54,6.069,8.94,-418.2,2.052,0
2011-06-11 20:30:00.000,25.48,41.48,0.152,0.278,NAN,1.907,0
2011-06-11 21:00:00.000,24.48,42.6,0.0,0.031,NAN,1.763,0
2011-06-11 21:30:00.000,23.47,45.34,0.0,0.01,NAN,1.581,0
2011-06-11 22:00:00.000,22.13,50.06,0.0,0.001,NAN,1.331,0
2011-06-11 22:30:00.000,21.31,58.11,0.0,0.001,-420.4,1.063,0
2011-06-11 23:00:00.000,20.52,62.78,0.0,0.0,-393.9,0.899,0
2011-06-11 23:30:00.000,20.0,62.58,0.0,0.0,NAN,0.874,0
2011-06-12 00:00:00.000,19.7,62.6,0.0,0.0,-402.9,0.858,0
2011-06-12 00:30:00.000,19.35,63.4,0.0,0.0,-397.5,0.822,0
2011-06-12 01:00:00.000,19.2,62.82,0.0,0.0,NAN,0.827,0
2011-06-12 01:30:00.000,19.06,61.68,0.0,0.0,NAN,0.845,0
2011-06-12 02:00:00.000,18.85,62.18,0.0,0.0,NAN,0.824,0
2011-06-12 02:30:00.000,18.07,66.49,0.0,0.0,NAN,0.695,0
2011-06-12 03:00:00.000,17.24,72.53,0.0,0.0,NAN,0.54,0
2011-06-12 03:30:00.000,16.83,73.49,0.0,0.0,NAN,0.508,0
2011-06-12 04:00:00.000,15.98,77.48,0.0,0.0,NAN,0.409,0
2011-06-12 04:30:00.000,15.84,78.08,0.0,0.0,NAN,0.394,0
2011-06-12 05:00:00.000,16.26,75.55,1.122,1.318,NAN,0.452,0
2011-06-12 05:30:00.000,15.85,77.96,21.33,31.35,NAN,0.397,0
2011-06-12 06:00:00.000,16.1,78.74,67.09,106.7,NAN,0.389,0
2011-06-12 06:30:00.000,17.25,74.09,151.5,241.8,NAN,0.511,0
2011-06-12 07:00:00.000,18.82,68.14,225.9,367.2,NAN,0.693,0
2011-06-12 07:30:00.000,20.65,60.85,359.0,583.1,-410.2,0.953,0
2011-06-12 08:00:00.000,22.24,56.34,477.9,774.2,-409.3,1.172,0
2011-06-12 08:30:00.000,23.58,51.9,579.3,935.0,NAN,1.4,0
2011-06-12 09:00:00.000,24.65,48.53,674.9,1086.0,-387.1,1.597,0
2011-06-12 09:30:00.000,25.76,45.79,761.2,1218.0,-380.7,1.797,0
2011-06-12 10:00:00.000,26.56,42.24,838.0,1335.0,-405.5,2.008,0
2011-06-12 10:30:00.000,27.75,38.73,904.0,1436.0,NAN,2.282,0
2011-06-12 11:00:00.000,28.47,36.75,958.0,1514.0,NAN,2.457,0
2011-06-12 11:30:00.000,29.02,34.44,999.0,1573.0,NAN,2.63,0
2011-06-12 12:00:00.000,29.46,32.55,1021.0,1606.0,-435.9,2.775,0
2011-06-12 12:30:00.000,29.96,33.29,1032.0,1619.0,NAN,2.824,0
2011-06-12 13:00:00.000,30.46,31.56,1031.0,1615.0,NAN,2.982,0
2011-06-12 13:30:00.000,31.08,30.01,1016.0,1587.0,NAN,3.16,0
2011-06-12 14:00:00.000,31.54,29.05,985.0,1538.0,NAN,3.287,0
2011-06-12 14:30:00.000,32.25,26.96,937.0,1463.0,NAN,3.523,0
2011-06-12 15:00:00.000,32.72,28.09,864.0,1353.0,NAN,3.561,0
2011-06-12 15:30:00.000,32.52,28.91,790.7,1235.0,NAN,3.482,0
2011-06-12 16:00:00.000,32.55,28.1,723.5,1128.0,-379.3,3.528,0
2011-06-12 16:30:00.000,32.48,27.29,625.4,975.0,NAN,3.552,0
2011-06-12 17:00:00.000,32.49,26.74,538.4,835.0,NAN,3.582,0
2011-06-12 17:30:00.000,32.29,27.46,436.7,671.3,NAN,3.506,0
