Fecha,P1 Control,P12 Control,P6 45RDI-PB,P8 45RDI-PB,P3 45RDI-CC,P5 45RDI-CC
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-11,,,,,,
2015-04-12,,,,,,
2015-04-13,,,,,,
2015-04-14,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-18,,,,,,
2015-04-19,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-25,,,,,,
2015-04-26,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-01,,,,,,
2015-05-02,,,,,,
2015-05-03,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-09,,,,1.0,1.0,1.0
2015-05-10,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-11,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-12,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-13,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-14,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-15,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-16,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-17,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-18,1.0,1.0,3.0,1.0,2.0,2.0
2015-05-19,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-20,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-21,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-22,1.0,1.0,1.0,1.0,2.0,2.0
2015-05-23,1.0,1.0,3.0,1.0,3.0,2.0
2015-05-24,1.0,1.0,3.0,2.0,3.0,2.0
2015-05-25,1.0,1.0,3.0,1.0,3.0,2.0
2015-05-26,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-27,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-28,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-29,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-30,1.0,1.0,1.0,1.0,1.0,1.0
2015-05-31,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-01,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-02,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-03,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-04,1.0,1.0,1.0,2.0,1.0,1.0
2015-06-05,1.0,1.0,1.0,2.0,1.0,1.0
2015-06-06,1.0,1.0,1.0,2.0,1.0,1.0
2015-06-07,1.0,1.0,1.0,2.0,1.0,1.0
2015-06-08,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-09,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-10,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-11,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-12,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-13,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-14,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-15,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-16,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-17,1.0,1.0,1.0,1.0,1.0,1.0
2015-06-18,1.0,1.0,1.0,2.0,1.0,1.0
2015-06-19,1.0,1.0,1.0,2.0,1.0,1.0
2015-06-20,1.0,1.0,1.0,2.0,1.0,1.0
