Fecha,P14 Control-2L,P15 Control-2L,P6 45SDI-2L,P11 45SDI-2L
2016-04-09,,,,
2016-04-10,,,,
2016-04-11,,,,
2016-04-12,,,,
2016-04-13,,,,
2016-04-14,,,,
2016-04-15,,,,
2016-04-16,,,,
2016-04-17,,,,
2016-04-18,,,,
2016-04-19,,,,
2016-04-20,,,,
2016-04-21,,,,
2016-04-22,,,,
2016-04-23,,,,
2016-04-24,,,,
2016-04-25,,,,
2016-04-26,,,,
2016-04-27,,,,
2016-04-28,,,,
2016-04-29,,,,
2016-04-30,,,,
2016-05-01,,,,
2016-05-02,,,,
2016-05-03,,,,
2016-05-04,,,,
2016-05-05,,,,
2016-05-06,,,,
2016-05-07,,,,
2016-05-08,,,,
2016-05-09,,,,
2016-05-10,,,,
2016-05-11,,,,
2016-05-12,,,,
2016-05-13,,,,
2016-05-14,,,,
2016-05-15,,,,
2016-05-16,,,,
2016-05-17,,,,
2016-05-18,,,,
2016-05-19,,,,
2016-05-20,,,,
2016-05-21,,,,
2016-05-22,,,,
2016-05-23,,,,
2016-05-24,,,,
2016-05-25,,,,
2016-05-26,,,,
2016-05-27,,,,
2016-05-28,,,,
2016-05-29,,,,
2016-05-30,,,,
2016-05-31,,,,
2016-06-01,,,,
2016-06-02,,,,
2016-06-03,,,,
2016-06-04,1.0,,1.0,1.0
2016-06-05,1.0,,1.0,1.0
2016-06-06,1.0,,1.0,1.0
2016-06-07,1.0,,1.0,1.0
2016-06-08,1.0,,1.0,1.0
2016-06-09,1.0,1.0,1.0,1.0
2016-06-10,1.0,1.0,1.0,1.0
2016-06-11,1.0,1.0,1.0,1.0
2016-06-12,1.0,1.0,1.0,1.0
2016-06-13,1.0,1.0,1.0,1.0
2016-06-14,1.0,1.0,1.0,1.0
2016-06-15,1.0,1.0,1.0,1.0
2016-06-16,1.0,1.0,1.0,1.0
2016-06-17,1.0,1.0,1.0,1.0
2016-06-18,1.0,1.0,1.0,2.0
2016-06-19,1.0,1.0,1.0,2.0
2016-06-20,1.0,1.0,1.0,2.0
2016-06-21,1.0,1.0,2.0,2.0
2016-06-22,1.0,1.0,2.0,2.0
2016-06-23,1.0,1.0,2.0,2.0
2016-06-24,1.0,1.0,2.0,2.0
2016-06-25,1.0,1.0,2.0,2.0
2016-06-26,1.0,1.0,2.0,2.0
2016-06-27,1.0,1.0,2.0,2.0
2016-06-28,1.0,1.0,2.0,2.0
2016-06-29,1.0,1.0,2.0,2.0
2016-06-30,1.0,1.0,2.0,2.0
2016-07-01,1.0,1.0,2.0,2.0
2016-07-02,1.0,1.0,2.0,2.0
2016-07-03,1.0,1.0,2.0,3.0
2016-07-04,1.0,1.0,2.0,3.0
2016-07-05,1.0,1.0,1.0,3.0
2016-07-06,1.0,1.0,1.0,3.0
2016-07-07,1.0,1.0,1.0,2.0
2016-07-08,1.0,1.0,2.0,3.0
2016-07-09,1.0,1.0,2.0,3.0
2016-07-10,1.0,1.0,2.0,3.0
2016-07-11,1.0,1.0,2.0,3.0
2016-07-12,1.0,1.0,2.0,3.0
2016-07-13,1.0,1.0,2.0,3.0
2016-07-14,1.0,1.0,2.0,3.0
2016-07-15,1.0,1.0,2.0,3.0
2016-07-16,1.0,1.0,2.0,3.0
2016-07-17,1.0,1.0,2.0,3.0
2016-07-18,1.0,1.0,2.0,3.0
2016-07-19,1.0,1.0,2.0,3.0
2016-07-20,1.0,1.0,1.0,3.0
2016-07-21,1.0,1.0,2.0,3.0
2016-07-22,1.0,1.0,2.0,3.0
2016-07-23,1.0,1.0,2.0,3.0
2016-07-24,1.0,1.0,1.0,3.0
2016-07-25,1.0,1.0,1.0,3.0
2016-07-26,1.0,1.0,1.0,3.0
2016-07-27,1.0,1.0,1.0,3.0
2016-07-28,1.0,1.0,1.0,3.0
2016-07-29,1.0,1.0,1.0,3.0
2016-07-30,1.0,1.0,1.0,3.0
2016-07-31,1.0,1.0,1.0,3.0
2016-08-01,1.0,1.0,1.0,3.0
2016-08-02,1.0,1.0,1.0,3.0
2016-08-03,1.0,1.0,1.0,3.0
2016-08-04,1.0,1.0,1.0,3.0
2016-08-05,1.0,1.0,1.0,3.0
2016-08-06,1.0,1.0,2.0,3.0
2016-08-07,1.0,1.0,2.0,3.0
2016-08-08,1.0,1.0,2.0,3.0
2016-08-09,1.0,1.0,2.0,3.0
2016-08-10,1.0,1.0,2.0,3.0
2016-08-11,1.0,1.0,2.0,3.0
2016-08-12,1.0,1.0,2.0,3.0
2016-08-13,1.0,1.0,2.0,3.0
2016-08-14,1.0,1.0,2.0,3.0
2016-08-15,1.0,1.0,1.0,3.0
2016-08-16,1.0,1.0,1.0,3.0
2016-08-17,1.0,1.0,1.0,2.0
2016-08-18,1.0,1.0,2.0,2.0
2016-08-19,1.0,1.0,2.0,2.0
2016-08-20,1.0,1.0,1.0,2.0
2016-08-21,1.0,1.0,1.0,2.0
2016-08-22,1.0,1.0,2.0,2.0
2016-08-23,1.0,1.0,2.0,2.0
2016-08-24,1.0,1.0,2.0,2.0
2016-08-25,1.0,1.0,2.0,2.0
2016-08-26,1.0,1.0,2.0,2.0
2016-08-27,1.0,1.0,2.0,2.0
2016-08-28,1.0,1.0,1.0,2.0
2016-08-29,1.0,1.0,1.0,2.0
2016-08-30,1.0,1.0,1.0,2.0
2016-08-31,1.0,1.0,1.0,2.0
2016-09-01,1.0,1.0,1.0,2.0
2016-09-02,1.0,1.0,1.0,2.0
