Fecha,TDV Control-2L(µm) P14,TDV Control-2L (µm) P15,TDV 45SDI-2L (µm) P6,TDV 45SDI-2L (µm) P11
2016-04-30 00:00:00.000,0,0,0,0
2016-04-30 00:15:00.000,3,-3.300000000000182,4.400000000000091,2
2016-04-30 00:29:59.990,3.699999999999818,3.099999999999909,0.599999999999909,4.599999999999909
2016-04-30 00:44:59.985,6.199999999999818,4.400000000000091,7.599999999999909,2
2016-04-30 00:59:59.980,6.199999999999818,3.800000000000182,7,3.400000000000091
2016-04-30 01:14:59.975,9.899999999999636,5.800000000000182,7,6
2016-04-30 01:29:59.970,10.5,7.699999999999818,10.099999999999909,8.599999999999909
2016-04-30 01:44:59.965,13,7,8.200000000000273,9.400000000000091
2016-04-30 01:59:59.960,13.599999999999909,12.699999999999818,13.400000000000091,9.400000000000091
2016-04-30 02:14:59.955,16,12.099999999999909,14.700000000000273,13.400000000000091
2016-04-30 02:29:59.950,16.699999999999818,17.300000000000182,15.300000000000182,14.599999999999909
2016-04-30 02:44:59.945,18.59999999999991,14.699999999999818,20.40000000000009,18.59999999999991
2016-04-30 02:59:59.940,21.59999999999991,18.5,21,22.59999999999991
2016-04-30 03:14:59.935,26.59999999999991,20.40000000000009,23.5,24.59999999999991
2016-04-30 03:29:59.935,29,26.199999999999818,26.700000000000273,26.59999999999991
2016-04-30 03:44:59.935,32.09999999999991,29.5,29.90000000000009,29.40000000000009
2016-04-30 03:59:59.935,36.399999999999636,30.09999999999991,31.800000000000182,32.59999999999991
2016-04-30 04:14:59.935,39,32,31.09999999999991,34
2016-04-30 04:29:59.935,40.79999999999973,35.80000000000018,37.59999999999991,37.40000000000009
2016-04-30 04:44:59.935,42.69999999999982,35.80000000000018,39.5,37.40000000000009
2016-04-30 04:59:59.935,48.19999999999982,37.80000000000018,42.59999999999991,39.40000000000009
2016-04-30 05:14:59.935,47.5,37.19999999999982,44.5,44
2016-04-30 05:29:59.935,50.69999999999982,41.59999999999991,49.59999999999991,47.40000000000009
2016-04-30 05:44:59.935,51.899999999999636,45.5,48.30000000000018,52
2016-04-30 05:59:59.935,58.09999999999991,50.09999999999991,52.80000000000018,56
2016-04-30 06:14:59.935,59.899999999999636,53.90000000000009,57.80000000000018,57.40000000000009
2016-04-30 06:29:59.935,64.89999999999964,56.40000000000009,57.80000000000018,58
2016-04-30 06:44:59.935,68.59999999999991,64.69999999999982,59.09999999999991,60
2016-04-30 06:59:59.935,72.29999999999973,67.40000000000009,64.30000000000018,64
2016-04-30 07:14:59.935,71.59999999999991,71.19999999999982,61,60
2016-04-30 07:29:59.935,69.79999999999973,73.80000000000018,54,51.40000000000009
2016-04-30 07:44:59.935,68.59999999999991,77.59999999999991,48.30000000000018,49.40000000000009
2016-04-30 07:59:59.935,57.5,72.40000000000009,36.80000000000018,36
2016-04-30 08:14:59.935,49.399999999999636,66.69999999999982,25.40000000000009,24
2016-04-30 08:29:59.935,38.29999999999973,62.19999999999982,4.400000000000091,6.599999999999909
2016-04-30 08:44:59.935,24.09999999999991,55.09999999999991,-11.400000000000091,-2.599999999999909
2016-04-30 08:59:59.935,11.699999999999818,52.59999999999991,-26.09999999999991,-9.400000000000091
2016-04-30 09:14:59.935,-4.400000000000091,44.30000000000018,-36.19999999999982,-10
2016-04-30 09:29:59.935,-16.100000000000364,32.69999999999982,-43.29999999999973,-12.599999999999909
2016-04-30 09:44:59.935,-25.40000000000009,30.800000000000182,-49.59999999999991,-13.400000000000091
2016-04-30 09:59:59.935,-34,19.800000000000182,-47.09999999999991,-14
2016-04-30 10:14:59.935,-43.30000000000018,17.300000000000182,-47.09999999999991,-8.599999999999909
2016-04-30 10:29:59.935,-42.600000000000364,16,-45.19999999999982,-10
2016-04-30 10:44:59.935,-51.90000000000009,13.5,-50.19999999999982,-14.599999999999909
2016-04-30 10:59:59.935,-55.600000000000364,9.599999999999909,-52.79999999999973,-24
2016-04-30 11:14:59.935,-68,2.5,-57.79999999999973,-36.69999999999982
2016-04-30 11:29:59.935,-78.60000000000036,-3.300000000000182,-66.19999999999982,-52
2016-04-30 11:44:59.935,-92.10000000000036,-11,-77.59999999999991,-72.09999999999991
2016-04-30 11:59:59.935,-102,-22.5,-88.29999999999973,-76.09999999999991
2016-04-30 12:14:59.935,-105.70000000000027,-26.40000000000009,-88.29999999999973,-85.40000000000009
2016-04-30 12:29:59.935,-117.5,-40.5,-96,-101.5
2016-04-30 12:44:59.935,-117.5,-39.90000000000009,-96,-106.09999999999991
2016-04-30 12:59:59.935,-134.80000000000018,-52,-106.19999999999982,-124.09999999999991
2016-04-30 13:14:59.935,-146.5,-64.30000000000018,-119.59999999999991,-142.69999999999982
2016-04-30 13:29:59.935,-156.4000000000001,-72,-125.90000000000009,-156.69999999999982
2016-04-30 13:44:59.935,-171.30000000000018,-85.5,-137.29999999999973,-176.80000000000018
2016-04-30 13:59:59.935,-173.10000000000036,-92.5,-139.79999999999973,-178.80000000000018
2016-04-30 14:14:59.935,-185.4000000000001,-107.90000000000009,-150.0999999999999,-197.5
2016-04-30 14:29:59.935,-203.9000000000001,-129.0999999999999,-161.5,-218.80000000000018
2016-04-30 14:44:59.935,-199.70000000000027,-138.0999999999999,-162.0999999999999,-212.80000000000018
2016-04-30 14:59:59.935,-194.70000000000027,-134.19999999999982,-155.0999999999999,-205.5
2016-04-30 15:14:59.935,-195.4000000000001,-130.4000000000001,-156.4000000000001,-207.5
2016-04-30 15:29:59.935,-205.80000000000018,-153.5,-161.5,-219.5
2016-04-30 15:44:59.935,-199.70000000000027,-159.30000000000018,-155.0999999999999,-208.80000000000018
2016-04-30 15:59:59.935,-190.4000000000001,-152.9000000000001,-143.0999999999999,-197.5
