,,pk,bk,ctend,bk1,Y
TDV Control1,2014-05-15,1.0,2.0,98.8,1.0,0.0
TDV Control2,2014-05-15,1.0,2.0,106.1,1.0,0.0
TDV 45RDI-PB1,2014-05-15,1.0,2.0,74.8,1.0,0.0
TDV 45RDI-PB2,2014-05-15,1.0,2.0,57.2,1.0,0.0
TDV 45RDI-CC1,2014-05-15,1.0,2.0,158.3,1.0,0.0
TDV 45RDI-CC2,2014-05-15,1.0,2.0,128.0,1.0,0.0
TDV Control1,2014-05-16,-1.0,1.0,96.8,0.0,1.0
TDV Control2,2014-05-16,2.0,2.0,142.1,1.0,0.0
TDV 45RDI-PB1,2014-05-16,2.0,2.0,76.8,1.0,0.0
TDV 45RDI-PB2,2014-05-16,-1.0,1.0,57.2,0.0,0.0
TDV 45RDI-CC1,2014-05-16,-1.0,1.0,125.9,0.0,1.0
TDV 45RDI-CC2,2014-05-16,-1.0,1.0,118.0,0.0,1.0
TDV Control1,2014-05-17,1.0,1.5,110.39999999999999,1.0,0.0
TDV Control2,2014-05-17,3.0,2.0,262.3,1.0,0.0
TDV 45RDI-PB1,2014-05-17,3.0,2.0,80.7,1.0,0.0
TDV 45RDI-PB2,2014-05-17,-2.0,0.5,0.0,0.0,0.0
TDV 45RDI-CC1,2014-05-17,-2.0,0.5,-47.7,0.0,1.0
TDV 45RDI-CC2,2014-05-17,-2.0,0.5,-70.0,0.0,1.0
TDV Control1,2014-05-18,2.0,1.75,69.69999999999999,1.0,0.0
TDV Control2,2014-05-18,4.0,2.0,344.4,1.0,0.0
TDV 45RDI-PB1,2014-05-18,4.0,2.0,86.6,1.0,0.0
TDV 45RDI-PB2,2014-05-18,1.0,1.25,1.8999999999999986,1.0,0.0
TDV 45RDI-CC1,2014-05-18,-3.0,0.25,-64.80000000000001,0.0,1.0
TDV 45RDI-CC2,2014-05-18,-3.0,0.25,-184.0,0.0,1.0
TDV Control1,2014-05-19,-1.0,0.875,38.70000000000002,0.0,1.0
TDV Control2,2014-05-19,-1.0,1.0,314.3,0.0,1.0
TDV 45RDI-PB1,2014-05-19,-1.0,1.0,68.9,0.0,1.0
TDV 45RDI-PB2,2014-05-19,-1.0,0.625,-24.800000000000004,0.0,1.0
TDV 45RDI-CC1,2014-05-19,-4.0,0.125,-186.9,0.0,1.0
TDV 45RDI-CC2,2014-05-19,-4.0,0.125,-368.0,0.0,1.0
TDV Control1,2014-05-20,1.0,1.4375,160.79999999999998,1.0,0.0
TDV Control2,2014-05-20,1.0,1.5,138.2,1.0,0.0
TDV 45RDI-PB1,2014-05-20,1.0,1.5,70.9,1.0,0.0
TDV 45RDI-PB2,2014-05-20,1.0,1.3125,85.8,1.0,0.0
TDV 45RDI-CC1,2014-05-20,-5.0,0.0625,-202.2,0.0,1.0
TDV 45RDI-CC2,2014-05-20,-5.0,0.0625,-432.0,0.0,1.0
TDV Control1,2014-05-21,2.0,1.71875,50.30000000000001,1.0,0.0
TDV Control2,2014-05-21,2.0,1.75,74.10000000000002,1.0,0.0
TDV 45RDI-PB1,2014-05-21,2.0,1.75,86.6,1.0,0.0
TDV 45RDI-PB2,2014-05-21,2.0,1.65625,150.70000000000002,1.0,0.0
TDV 45RDI-CC1,2014-05-21,1.0,1.03125,91.6,1.0,0.0
TDV 45RDI-CC2,2014-05-21,1.0,1.03125,84.0,1.0,0.0
TDV Control1,2014-05-22,-1.0,0.859375,42.60000000000002,0.0,1.0
TDV Control2,2014-05-22,3.0,1.875,76.10000000000002,1.0,0.0
TDV 45RDI-PB1,2014-05-22,-1.0,0.875,78.69999999999999,0.0,1.0
TDV 45RDI-PB2,2014-05-22,-1.0,0.828125,150.70000000000002,0.0,1.0
TDV 45RDI-CC1,2014-05-22,2.0,1.515625,26.69999999999999,1.0,0.0
TDV 45RDI-CC2,2014-05-22,2.0,1.515625,144.0,1.0,0.0
TDV Control1,2014-05-23,1.0,1.4296875,21.30000000000001,1.0,0.0
TDV Control2,2014-05-23,4.0,1.9375,122.20000000000005,1.0,0.0
TDV 45RDI-PB1,2014-05-23,1.0,1.4375,5.900000000000006,1.0,0.0
TDV 45RDI-PB2,2014-05-23,-2.0,0.4140625,-17.200000000000017,0.0,1.0
TDV 45RDI-CC1,2014-05-23,-1.0,0.7578125,13.300000000000011,0.0,1.0
TDV 45RDI-CC2,2014-05-23,-1.0,0.7578125,128.0,0.0,1.0
TDV Control1,2014-05-24,-1.0,0.71484375,-34.900000000000034,0.0,1.0
TDV Control2,2014-05-24,-1.0,0.96875,108.10000000000002,0.0,1.0
TDV 45RDI-PB1,2014-05-24,-1.0,0.71875,-68.9,0.0,1.0
TDV 45RDI-PB2,2014-05-24,-3.0,0.20703125,-125.9,0.0,1.0
TDV 45RDI-CC1,2014-05-24,-2.0,0.37890625,-104.9,0.0,1.0
TDV 45RDI-CC2,2014-05-24,-2.0,0.37890625,-176.0,0.0,1.0
TDV Control1,2014-05-25,1.0,1.357421875,38.69999999999999,1.0,0.0
TDV Control2,2014-05-25,1.0,1.484375,24.100000000000023,1.0,0.0
TDV 45RDI-PB1,2014-05-25,-2.0,0.359375,-5.900000000000006,0.0,1.0
TDV 45RDI-PB2,2014-05-25,-4.0,0.103515625,-316.6,0.0,1.0
TDV 45RDI-CC1,2014-05-25,-3.0,0.189453125,-150.70000000000002,0.0,1.0
TDV 45RDI-CC2,2014-05-25,-3.0,0.189453125,-364.0,0.0,1.0
TDV Control1,2014-05-26,2.0,1.6787109375,29.100000000000023,1.0,0.0
TDV Control2,2014-05-26,2.0,1.7421875,52.0,1.0,0.0
TDV 45RDI-PB1,2014-05-26,1.0,1.1796875,11.800000000000011,1.0,0.0
TDV 45RDI-PB2,2014-05-26,-5.0,0.0517578125,-337.6,0.0,1.0
TDV 45RDI-CC1,2014-05-26,-4.0,0.0947265625,-206.0,0.0,1.0
TDV 45RDI-CC2,2014-05-26,-4.0,0.0947265625,-604.0,0.0,1.0
TDV Control1,2014-05-27,3.0,1.83935546875,87.20000000000005,1.0,0.0
TDV Control2,2014-05-27,3.0,1.87109375,126.09999999999991,1.0,0.0
TDV 45RDI-PB1,2014-05-27,-1.0,0.58984375,-17.700000000000017,0.0,1.0
TDV 45RDI-PB2,2014-05-27,1.0,1.02587890625,-215.5,1.0,0.0
TDV 45RDI-CC1,2014-05-27,-5.0,0.04736328125,-293.7,0.0,1.0
TDV 45RDI-CC2,2014-05-27,-5.0,0.04736328125,-902.0,0.0,1.0
TDV Control1,2014-05-28,4.0,1.919677734375,141.39999999999998,1.0,0.0
TDV Control2,2014-05-28,4.0,1.935546875,204.19999999999993,1.0,0.0
TDV 45RDI-PB1,2014-05-28,1.0,1.294921875,39.400000000000006,1.0,0.0
TDV 45RDI-PB2,2014-05-28,2.0,1.512939453125,49.60000000000001,1.0,0.0
