Fecha UTC,T_Amb_Avg,H_Relat_Avg,Rad_Glob_Avg,Rad_Par_Avg,R_Neta_Avg,VPD_Avg
2016-04-01 0:00,7.789,68.85,0,0,-62.68,0.329
2016-04-01 0:30,7.116,72.46,0,0,-60.46,0.278
2016-04-01 1:00,7.292,72.08,0,0,-62.1,0.285
2016-04-01 1:30,7.157,70.96,0,0,-59.7,0.294
2016-04-01 2:00,6.558,73.76,0,0,-59.47,0.255
2016-04-01 2:30,5.544,79.09,0,0,-57.1,0.19
2016-04-01 3:00,4.838,82.9,0,0,-57.2,0.148
2016-04-01 3:30,5.022,85,0,0,-58.75,0.131
2016-04-01 4:00,5.155,83.9,0,0,-61.49,0.142
2016-04-01 4:30,6.668,75.48,0,0,-66.03,0.241
2016-04-01 5:00,6.772,71.33,0,0,-67.08,0.283
2016-04-01 5:30,6.848,69.88,0,0,-71.14,0.298
2016-04-01 6:00,5.645,73.35,0.193,0.277,-65.65,0.244
2016-04-01 6:30,4.344,79.65,19.43,22.17,-41.18,0.17
2016-04-01 7:00,5.011,82.9,108.2,148.2,43.19,0.15
2016-04-01 7:30,8.79,70.19,221.2,334.6,132.5,0.341
2016-04-01 8:00,10.01,60.66,338.7,543.2,223.7,0.483
2016-04-01 8:30,10.85,57.33,450.9,751.6,307.3,0.555
2016-04-01 9:00,12.31,52.35,556.1,952,386.2,0.683
2016-04-01 9:30,13.58,46.93,652,1139,443.7,0.826
2016-04-01 10:00,14.51,40.63,739.3,1311,493.2,0.981
2016-04-01 10:30,15.3,36.66,810,1455,525.5,1.101
2016-04-01 11:00,15.9,33.64,867,1576,549.2,1.198
2016-04-01 11:30,16.41,32.36,908,1666,558.1,1.262
2016-04-01 12:00,16.94,29.63,935,1728,560.8,1.357
2016-04-01 12:30,17.66,27.18,945,1758,537.6,1.47
2016-04-01 13:00,18.34,26.24,936,1751,524.6,1.555
2016-04-01 13:30,18.76,25.67,911,1717,481.3,1.609
2016-04-01 14:00,19.52,25.69,872,1654,444.5,1.686
2016-04-01 14:30,19.76,25.42,817,1562,393.8,1.718
2016-04-01 15:00,20.14,24.17,748.9,1440,332.3,1.787
2016-04-01 15:30,20.28,22.57,669.2,1296,252.9,1.842
2016-04-01 16:00,20.47,21.08,579.1,1131,171.5,1.899
2016-04-01 16:30,20.36,21.52,476.4,942,98.2,1.876
2016-04-01 17:00,20.15,21.55,369.7,742.6,26.88,1.85
2016-04-01 17:30,20.01,20.71,260.6,537.6,-33.54,1.855
2016-04-01 18:00,19.72,21.17,148.6,319.3,-82.1,1.811
2016-04-01 18:30,19,24.06,51.74,131.3,-96,1.669
2016-04-01 19:00,16.56,33.15,12.14,25.5,-74.74,1.27
2016-04-01 19:30,14.57,50.62,0.111,0.262,-72.5,0.82
2016-04-01 20:00,13.19,57.13,0,0,-69.88,0.65
