Fecha,DDA,Precipitación,ETo,Riego Control,Riego 60RDI,Riego 30RDI,LTP Control_1_1,LTP Control_2_1,LTP 60RDI_1_1,LTP 60RDI_2_1,LTP 30RDI_1_1,LTP 30RDI_2_1
2011-06-07,158.0,0.0,3.74,23.47,20.01,21.65,,,,,,
2011-06-08,159.0,0.0,5.58,23.47,20.01,21.65,,,,,,
2011-06-09,160.0,0.0,4.78,23.47,20.01,21.65,1.0,,1.0,,,
2011-06-10,161.0,0.0,5.64,23.47,20.01,21.65,1.0,,1.0,,,
2011-06-11,162.0,0.0,5.81,23.47,20.01,21.65,1.0,,1.0,,,
2011-06-12,163.0,0.0,6.94,23.47,20.01,21.65,2.0,,1.0,,,
2011-06-13,164.0,0.0,7.15,23.47,20.01,21.65,2.0,,1.0,,,
2011-06-14,165.0,0.0,7.06,17.72,14.9,12.58,2.0,,1.0,,,
2011-06-15,166.0,0.0,6.94,17.72,14.9,12.58,2.0,,2.0,,,
2011-06-16,167.0,0.0,6.98,17.72,14.9,12.58,2.0,,1.0,,,
2011-06-17,168.0,0.0,7.65,17.72,14.9,12.58,1.0,,1.0,,,
2011-06-18,169.0,0.0,7.53,17.72,14.9,12.58,1.0,,1.0,,,
2011-06-19,170.0,0.0,7.33,17.72,14.9,12.58,2.0,,2.0,,,
2011-06-20,171.0,0.0,6.95,17.72,14.9,12.58,2.0,,2.0,,,
2011-06-21,172.0,0.0,7.45,22.0,16.56,16.81,2.0,,2.0,,,
2011-06-22,173.0,0.0,7.58,22.0,16.56,16.81,2.0,,2.0,,,
2011-06-23,174.0,0.0,7.06,22.0,16.56,16.81,2.0,,2.0,,,
2011-06-24,175.0,0.0,6.67,22.0,16.56,16.81,2.0,,3.0,,,2.0
2011-06-25,176.0,0.0,6.79,22.0,16.56,16.81,2.0,,2.0,,,2.0
2011-06-26,177.0,0.0,6.53,22.0,16.56,16.81,2.0,,3.0,,,2.0
2011-06-27,178.0,0.0,7.92,22.0,16.56,16.81,2.0,,3.0,,,3.0
2011-06-28,179.0,0.0,7.08,22.81,15.84,15.55,2.0,,3.0,2.0,2.0,2.0
2011-06-29,180.0,0.0,7.13,22.81,15.84,15.55,2.0,,3.0,2.0,3.0,3.0
2011-06-30,181.0,0.0,7.07,22.81,15.84,15.55,2.0,1.0,3.0,3.0,3.0,3.0
2011-07-01,182.0,0.0,5.95,22.81,15.84,15.55,1.0,1.0,3.0,2.0,3.0,3.0
2011-07-02,183.0,0.0,8.18,22.81,15.84,15.55,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-03,184.0,0.0,6.64,22.81,15.84,15.55,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-04,185.0,0.0,6.34,22.81,15.84,15.55,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-05,186.0,0.0,7.39,20.6,15.94,13.78,1.0,1.0,2.0,2.0,3.0,3.0
2011-07-06,187.0,0.0,8.33,20.6,15.94,13.78,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-07,188.0,0.0,8.17,20.6,15.94,13.78,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-08,189.0,0.0,6.9,20.6,15.94,13.78,1.0,1.0,2.0,2.0,3.0,3.0
2011-07-09,190.0,0.0,7.76,20.6,15.94,13.78,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-10,191.0,0.0,7.82,20.6,15.94,13.78,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-11,192.0,0.0,7.72,20.6,15.94,13.78,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-12,193.0,0.0,8.35,22.08,14.57,14.48,1.0,1.0,2.0,2.0,3.0,2.0
2011-07-13,194.0,0.0,7.24,22.08,14.57,14.48,1.0,1.0,3.0,3.0,2.0,3.0
2011-07-14,195.0,0.0,7.38,22.08,14.57,14.48,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-15,196.0,0.0,7.51,22.08,14.57,14.48,1.0,1.0,2.0,2.0,3.0,3.0
2011-07-16,197.0,0.0,8.0,22.08,14.57,14.48,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-17,198.0,0.0,7.97,22.08,14.57,14.48,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-18,199.0,0.0,7.43,22.08,14.57,14.48,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-19,200.0,0.0,7.22,21.14,15.91,15.97,1.0,1.0,2.0,2.0,2.0,2.0
2011-07-20,201.0,0.0,7.32,21.14,15.91,15.97,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-21,202.0,0.0,7.85,21.14,15.91,15.97,,1.0,3.0,3.0,3.0,3.0
2011-07-22,203.0,0.0,7.65,21.14,15.91,15.97,,1.0,2.0,2.0,3.0,3.0
2011-07-23,204.0,0.0,6.57,21.14,15.91,15.97,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-24,205.0,0.0,6.32,21.14,15.91,15.97,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-25,206.0,0.0,6.91,21.14,15.91,15.97,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-26,207.0,0.0,7.9,28.43,18.95,18.64,1.0,1.0,2.0,2.0,2.0,2.0
2011-07-27,208.0,0.0,8.27,28.43,18.95,18.64,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-28,209.0,0.0,7.46,28.43,18.95,18.64,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-29,210.0,0.0,7.31,28.43,18.95,18.64,1.0,1.0,2.0,2.0,2.0,2.0
2011-07-30,211.0,0.0,8.19,28.43,18.95,18.64,1.0,1.0,3.0,3.0,3.0,3.0
2011-07-31,212.0,0.0,7.53,28.43,18.95,18.64,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-01,213.0,0.0,8.32,28.43,18.95,18.64,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-02,214.0,0.0,6.18,27.03,28.67,29.13,1.0,1.0,2.0,2.0,2.0,2.0
2011-08-03,215.0,0.0,7.39,27.03,28.67,29.13,1.0,1.0,3.0,3.0,3.0,1.0
2011-08-04,216.0,0.0,7.71,27.03,28.67,29.13,1.0,1.0,3.0,3.0,3.0,2.0
2011-08-05,217.0,0.0,7.78,27.03,28.67,29.13,1.0,1.0,2.0,2.0,3.0,3.0
2011-08-06,218.0,0.0,7.52,27.03,28.67,29.13,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-07,219.0,0.0,7.09,27.03,28.67,29.13,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-08,220.0,0.0,7.1,27.03,28.67,29.13,1.0,1.0,2.0,2.0,2.0,3.0
2011-08-09,221.0,0.0,7.01,26.51,28.14,26.91,1.0,1.0,3.0,3.0,2.0,2.0
2011-08-10,222.0,0.0,6.94,26.51,28.14,26.91,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-11,223.0,0.0,7.42,26.51,28.14,26.91,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-12,224.0,0.0,6.86,26.51,28.14,26.91,1.0,1.0,2.0,2.0,3.0,3.0
2011-08-13,225.0,0.0,6.68,26.51,28.14,26.91,1.0,1.0,2.0,2.0,3.0,3.0
2011-08-14,226.0,0.0,7.62,26.51,28.14,26.91,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-15,227.0,0.0,7.6,26.51,28.14,26.91,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-16,228.0,0.0,7.65,27.04,26.04,26.53,1.0,1.0,2.0,2.0,2.0,2.0
2011-08-17,229.0,0.0,6.65,27.04,26.04,26.53,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-18,230.0,0.0,6.17,27.04,26.04,26.53,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-19,231.0,0.0,7.06,27.04,26.04,26.53,1.0,1.0,2.0,2.0,3.0,3.0
2011-08-20,232.0,0.792,8.59,27.04,26.04,26.53,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-21,233.0,0.198,5.09,27.04,26.04,26.53,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-22,234.0,0.0,5.52,27.04,26.04,26.53,1.0,1.0,3.0,3.0,3.0,3.0
2011-08-23,235.0,0.0,6.87,19.73,21.3,20.9,1.0,1.0,2.0,2.0,2.0,2.0
2011-08-24,236.0,0.0,6.75,19.73,21.3,20.9,1.0,1.0,2.0,1.0,3.0,2.0
2011-08-25,237.0,0.0,7.84,19.73,21.3,20.9,1.0,1.0,2.0,1.0,3.0,3.0
2011-08-26,238.0,0.0,6.65,19.73,21.3,20.9,1.0,1.0,2.0,1.0,2.0,2.0
2011-08-27,239.0,0.0,6.6,19.73,21.3,20.9,1.0,1.0,2.0,1.0,3.0,1.0
2011-08-28,240.0,0.0,6.52,19.73,21.3,20.9,1.0,1.0,2.0,1.0,3.0,3.0
2011-08-29,241.0,0.0,6.36,19.73,21.3,20.9,1.0,1.0,2.0,1.0,3.0,3.0
2011-08-30,242.0,0.0,7.38,19.73,21.3,20.9,1.0,1.0,2.0,1.0,2.0,2.0
2011-08-31,243.0,0.594,4.39,19.73,21.3,20.9,1.0,1.0,2.0,,1.0,1.0
2011-09-01,244.0,6.138,2.73,19.73,21.3,20.9,2.0,2.0,2.0,,2.0,2.0
2011-09-02,245.0,5.346,3.11,19.73,21.3,20.9,1.0,1.0,1.0,,1.0,2.0
2011-09-03,246.0,0.198,4.34,19.73,21.3,20.9,2.0,1.0,1.0,,2.0,2.0
2011-09-04,247.0,0.0,4.88,19.73,21.3,20.9,1.0,1.0,1.0,,2.0,1.0
2011-09-05,248.0,0.0,5.71,19.73,21.3,20.9,1.0,1.0,1.0,,3.0,1.0
2011-09-06,249.0,0.0,5.63,13.84,13.3,14.4,1.0,1.0,1.0,,2.0,1.0
