,Fecha,estado real,estado estimado,error,probabilidad estado 1,probabilidad estado 2,probabilidad estado 3
LTP Control_1_1,2014-05-29,1.0,1.0,0.0,0.9345876517175437,0.06536756048847762,4.478779397873624e-05
LTP Control_1_1,2014-05-30,1.0,1.0,0.0,0.9087728819531161,0.09112384767283234,0.00010327037405150665
LTP Control_1_1,2014-05-31,1.0,1.0,0.0,0.9195406842315808,0.08040704256860659,5.2273199812622495e-05
LTP Control_1_1,2014-06-01,1.0,1.0,0.0,0.9070258627358441,0.09290341002137298,7.072724278287192e-05
LTP Control_1_1,2014-06-02,1.0,1.0,0.0,0.8958560610592371,0.10397384193939725,0.00017009700136576898
LTP Control_1_1,2014-06-03,1.0,1.0,0.0,0.8690981619932995,0.13080348714466958,9.835086203089565e-05
LTP Control_1_1,2014-06-04,1.0,1.0,0.0,0.9447786019899542,0.055188602190458805,3.279581958690065e-05
LTP Control_1_1,2014-06-05,1.0,1.0,0.0,0.9408663287054073,0.05910956864243265,2.4102652159893323e-05
LTP Control_1_1,2014-06-06,1.0,1.0,0.0,0.9234845920879907,0.0764715245916079,4.3883320401424033e-05
LTP Control_1_1,2014-06-07,1.0,1.0,0.0,0.9506473360210762,0.04932394197850975,2.8722000414044325e-05
LTP Control_1_1,2014-06-08,1.0,1.0,0.0,0.9377820243643361,0.06218532993679477,3.264569886910886e-05
LTP Control_1_1,2014-06-09,1.0,1.0,0.0,0.93975659369107,0.06020550199499208,3.7904313937834525e-05
LTP Control_1_1,2014-06-10,1.0,1.0,0.0,0.9038585167219947,0.09608397711990849,5.750615809668154e-05
LTP Control_1_1,2014-06-11,1.0,1.0,0.0,0.8950206487063785,0.1049159764918494,6.337480177200807e-05
LTP Control_1_1,2014-06-12,1.0,1.0,0.0,0.8986238288940513,0.10131185889637039,6.43122095781752e-05
LTP Control_1_1,2014-06-13,1.0,1.0,0.0,0.8853229380075802,0.11454474232773032,0.000132319664689387
LTP Control_1_1,2014-06-14,2.0,1.0,1.0,0.8151239030147523,0.18453072644059082,0.0003453705446567551
LTP Control_1_1,2014-06-15,2.0,1.0,1.0,0.9368346137380476,0.06309814211699896,6.724414495328486e-05
LTP Control_1_1,2014-06-16,1.0,1.0,0.0,0.9253605311999777,0.07459980691691634,3.966188310577944e-05
LTP Control_1_1,2014-06-17,1.0,1.0,0.0,0.9440546258478242,0.055916213466241815,2.9160685934051125e-05
LTP Control_1_1,2014-06-18,1.0,1.0,0.0,0.9389290576215791,0.06104121926763936,2.972311078151378e-05
LTP Control_1_1,2014-06-19,1.0,1.0,0.0,0.940936421782948,0.05902726130594615,3.631691110593516e-05
LTP Control_1_1,2014-06-20,1.0,1.0,0.0,0.9239024127254531,0.07605080367087023,4.678360367663703e-05
LTP Control_1_1,2014-06-21,1.0,1.0,0.0,0.9098453573319326,0.09009749990775838,5.714276030905356e-05
LTP Control_1_1,2014-06-22,1.0,1.0,0.0,0.9205388071020375,0.07940956467452488,5.162822343749656e-05
LTP Control_1_1,2014-06-23,1.0,1.0,0.0,0.9117900072362577,0.08815954125745767,5.045150628472043e-05
LTP Control_1_1,2014-06-24,1.0,1.0,0.0,0.9282959804041528,0.07164229715378821,6.172244205884987e-05
LTP Control_1_1,2014-06-25,1.0,1.0,0.0,0.9157135027222884,0.08423253538836369,5.3961889348030956e-05
LTP Control_1_1,2014-06-26,1.0,1.0,0.0,0.9239908556466087,0.07594490161715,6.42427362414027e-05
LTP Control_1_1,2014-06-27,1.0,1.0,0.0,0.8888725777545982,0.11101255302998647,0.0001148692154154567
LTP Control_1_1,2014-06-28,1.0,1.0,0.0,0.9212404740348278,0.07863970899101566,0.0001198169741566247
LTP Control_1_1,2014-06-29,1.0,1.0,0.0,0.8787897600785158,0.1210775722713779,0.000132667650106272
LTP Control_1_1,2014-06-30,1.0,1.0,0.0,0.895936255791137,0.10392004948359836,0.0001436947252647583
LTP Control_1_1,2014-07-01,1.0,1.0,0.0,0.9568325103318333,0.04314191496424145,2.5574703925372286e-05
LTP Control_1_1,2014-07-02,1.0,1.0,0.0,0.9190590216023734,0.08089452241380535,4.64559838212314e-05
LTP Control_1_1,2014-07-03,1.0,1.0,0.0,0.928552530331858,0.07138389276870954,6.357689943236928e-05
LTP Control_1_1,2014-07-04,1.0,1.0,0.0,0.904967476743202,0.09493991886419909,9.260439259876339e-05
LTP Control_1_1,2014-07-05,1.0,1.0,0.0,0.8960110281096391,0.1038624914365836,0.00012648045377732094
LTP Control_1_1,2014-07-06,1.0,1.0,0.0,0.9395495976485422,0.060410302587511,4.009976394682385e-05
LTP Control_1_1,2014-07-07,1.0,1.0,0.0,0.9153122313100195,0.08461639120409001,7.137748589037469e-05
