,Fecha,estado real,estado estimado,error,probabilidad estado 1,probabilidad estado 2,probabilidad estado 3
LTP Control-2L_1,2016-06-09,1.0,1.0,0.0,0.9408439377552982,0.05913153367342101,2.4528571280651494e-05
LTP Control-2L_1,2016-06-10,1.0,1.0,0.0,0.9413076628347409,0.058671198935594394,2.1138229664761794e-05
LTP Control-2L_1,2016-06-11,1.0,1.0,0.0,0.9161938265935706,0.08372377533699531,8.239806943407564e-05
LTP Control-2L_1,2016-06-12,1.0,1.0,0.0,0.9160524378237618,0.08383645089603876,0.0001111112801993783
LTP Control-2L_1,2016-06-13,1.0,1.0,0.0,0.9083560932185771,0.09153129469175833,0.00011261208966441603
LTP Control-2L_1,2016-06-14,1.0,1.0,0.0,0.933706560499385,0.0662584589935979,3.498050701704247e-05
LTP Control-2L_1,2016-06-15,1.0,1.0,0.0,0.907244520042013,0.09271512291090099,4.035704708589162e-05
LTP Control-2L_1,2016-06-16,1.0,1.0,0.0,0.8982760293705127,0.10164102661310061,8.294401638679407e-05
LTP Control-2L_1,2016-06-17,1.0,1.0,0.0,0.8918497558955726,0.10802558510700459,0.0001246589974229345
LTP Control-2L_1,2016-06-18,1.0,1.0,0.0,0.9130820471924334,0.08680997646466425,0.00010797634290239488
LTP Control-2L_1,2016-06-19,1.0,1.0,0.0,0.9068181281545072,0.09306536237973335,0.00011650946575943245
LTP Control-2L_1,2016-06-20,1.0,1.0,0.0,0.9202490905952342,0.07964970392329439,0.00010120548147154044
LTP Control-2L_1,2016-06-21,1.0,1.0,0.0,0.9251076012894415,0.07482745427235432,6.49444382042652e-05
LTP Control-2L_1,2016-06-22,1.0,1.0,0.0,0.9189016137259238,0.08101471100773261,8.367526634345908e-05
LTP Control-2L_1,2016-06-23,1.0,1.0,0.0,0.914155776240438,0.08573451993051495,0.00010970382904701946
LTP Control-2L_1,2016-06-24,1.0,1.0,0.0,0.9062046568693862,0.0936934761144244,0.00010186701618933711
LTP Control-2L_1,2016-06-25,1.0,1.0,0.0,0.9061426028070843,0.09378097920147446,7.641799144117879e-05
LTP Control-2L_1,2016-06-26,1.0,1.0,0.0,0.8939618890855476,0.10595880977034818,7.93011441041495e-05
LTP Control-2L_1,2016-06-27,1.0,1.0,0.0,0.9298345255634385,0.07009327993679174,7.219449976975559e-05
LTP Control-2L_1,2016-06-28,1.0,1.0,0.0,0.8776222333706247,0.12222366551580703,0.00015410111356826072
LTP Control-2L_1,2016-06-29,1.0,1.0,0.0,0.9248860945888379,0.07507076829271674,4.3137118445439983e-05
