date,temperature_2m,relative_humidity_2m,terrestrial_radiation
2024-08-07 00:00:00+00:00,21.484999,72.0,0.0
2024-08-07 01:00:00+00:00,20.885,75.0,0.0
2024-08-07 02:00:00+00:00,20.984999,73.0,0.0
2024-08-07 03:00:00+00:00,21.185,70.0,0.0
2024-08-07 04:00:00+00:00,20.885,69.0,0.0
2024-08-07 05:00:00+00:00,20.585,69.0,0.0
2024-08-07 06:00:00+00:00,20.785,67.0,38.837708
2024-08-07 07:00:00+00:00,23.385,56.0,229.98418
2024-08-07 08:00:00+00:00,26.585,43.0,492.0075
2024-08-07 09:00:00+00:00,30.185,33.0,735.88727
2024-08-07 10:00:00+00:00,33.285,26.0,944.98505
2024-08-07 11:00:00+00:00,35.885002,23.0,1105.032
2024-08-07 12:00:00+00:00,37.885002,19.0,1205.1011
2024-08-07 13:00:00+00:00,38.985,15.0,1238.3506
2024-08-07 14:00:00+00:00,39.685,13.0,1202.4938
2024-08-07 15:00:00+00:00,40.185,12.0,1099.9541
2024-08-07 16:00:00+00:00,40.185,11.0,937.7006
2024-08-07 17:00:00+00:00,38.985,14.0,726.77356
2024-08-07 18:00:00+00:00,36.285,19.0,481.53275
2024-08-07 19:00:00+00:00,32.285,26.0,218.68019
2024-08-07 20:00:00+00:00,27.885,39.0,33.02208
2024-08-07 21:00:00+00:00,25.785,49.0,0.0
2024-08-07 22:00:00+00:00,24.285,57.0,0.0
2024-08-07 23:00:00+00:00,23.484999,63.0,0.0
2024-08-08 00:00:00+00:00,23.484999,65.0,0.0
2024-08-08 01:00:00+00:00,23.885,62.0,0.0
2024-08-08 02:00:00+00:00,23.984999,60.0,0.0
2024-08-08 03:00:00+00:00,23.685,61.0,0.0
2024-08-08 04:00:00+00:00,22.984999,65.0,0.0
2024-08-08 05:00:00+00:00,22.385,69.0,0.0
2024-08-08 06:00:00+00:00,22.085,74.0,37.13706
2024-08-08 07:00:00+00:00,23.984999,67.0,226.79315
2024-08-08 08:00:00+00:00,26.484999,55.0,489.25555
2024-08-08 09:00:00+00:00,29.085,45.0,733.5017
2024-08-08 10:00:00+00:00,31.585,36.0,942.8687
2024-08-08 11:00:00+00:00,33.885002,30.0,1103.0697
2024-08-08 12:00:00+00:00,34.985,28.0,1203.1653
2024-08-08 13:00:00+00:00,36.285,25.0,1236.3125
2024-08-08 14:00:00+00:00,37.285,23.0,1200.2313
2024-08-08 15:00:00+00:00,37.285,22.0,1097.3601
