Fecha,DDA,Precipitación,ETo,Riego Control,Riego RDI45,Riego RDI30,Riego BOSCH,Estado fenológico,Observaciones
2019-04-01,91,11.09,14.76,10.88,10.3,10.36,10.25,,
2019-04-02,92,,17.04,10.88,10.3,10.36,10.25,,
2019-04-03,93,,17.96,10.88,10.3,10.36,10.25,,
2019-04-04,94,,17.45,,,,,,
2019-04-05,95,11.88,18.78,,,,,,
2019-04-06,96,7.722,19.39,10.93,12.89,12.03,10.1,,
2019-04-07,97,5.346,19.32,10.93,12.89,12.03,10.1,,
2019-04-08,98,4.158,6.94,,,,,,
2019-04-09,99,,10.99,,,,,,
2019-04-10,100,,11.57,,,,,,
2019-04-11,101,,12.18,,,,,,
2019-04-12,102,,13.74,,,,,,
2019-04-13,103,,15.99,,,,,,
2019-04-14,104,,15.00,,,,,,
2019-04-15,105,,19.05,13.36,12.38,12.67,12.59,,
2019-04-16,106,,16.13,13.36,12.38,12.67,12.59,,
2019-04-17,107,,10.17,13.36,12.38,12.67,12.59,,
2019-04-18,108,10.89,8.95,13.36,12.38,12.67,12.59,,
2019-04-19,109,4.95,11.77,13.36,12.38,12.67,12.59,,
2019-04-20,110,,10.65,,,,,,
2019-04-21,111,,10.07,,,,,,
2019-04-22,112,,17.25,,,,,,
2019-04-23,113,11.88,11.33,,,,,,
2019-04-24,114,5.148,9.39,,,,,,
2019-04-25,115,3.564,10.58,,,,,,
2019-04-26,116,,13.64,,,,,,
2019-04-27,117,,20.82,,,,,,
2019-04-28,118,,20.24,,,,,,
2019-04-29,119,,17.35,,,,,,
2019-04-30,120,,19.36,18.86,18.34,18.5,18.58,,
2019-05-01,121,,17.85,18.86,18.34,18.5,18.58,,
2019-05-02,122,,18.87,18.86,18.34,18.5,18.58,,
2019-05-03,123,,18.96,18.86,18.34,18.5,18.58,,
2019-05-04,124,,11.23,18.86,18.34,18.5,18.58,,
2019-05-05,125,,13.64,18.86,18.34,18.5,18.58,,
2019-05-06,126,,14.28,18.86,18.34,18.5,18.58,,
2019-05-07,127,,16.84,15.72,12.3,10.16,15.51,,
2019-05-08,128,,14.50,15.72,,,15.51,,
2019-05-09,129,,13.17,15.72,12.3,10.16,15.51,,
2019-05-10,130,,17.64,15.72,,,15.51,,
2019-05-11,131,,21.73,15.72,,,15.51,Inicio programacion con BOSCH,
2019-05-12,132,,20.25,15.72,,,15.51,,
2019-05-13,133,,21.76,15.72,,,15.51,,
2019-05-14,134,,19.55,15.6,,,,,
2019-05-15,135,,23.89,15.6,,,,,
2019-05-16,136,,24.81,15.6,10.74,9.93,4.71,,
2019-05-17,137,,18.04,15.6,,,,,
2019-05-18,138,,18.34,15.6,,,,,
2019-05-19,139,,18.75,15.6,,,,,
2019-05-20,140,,20.53,15.6,,,,,
2019-05-21,141,,19.70,19.19,,,,,
2019-05-22,142,,19.51,19.19,,,,,
2019-05-23,143,,20.96,19.19,6.43,5.91,1.59,,
2019-05-24,144,,20.47,19.19,,,,,
2019-05-25,145,,20.28,19.19,,,,,
2019-05-26,146,,20.35,19.19,,,,,
2019-05-27,147,,23.36,19.19,,,,,
2019-05-28,148,,22.50,9.25,,,,,
2019-05-29,149,,22.50,9.25,,,,,
2019-05-30,150,,22.75,9.25,10.84,10.75,2.34,,
2019-05-31,151,,27.83,9.25,,,,,
2019-06-01,152,,22.68,9.25,,,,,
2019-06-02,153,,21.06,9.25,,,,,
2019-06-03,154,,21.77,9.25,,,,,
2019-06-04,155,,21.97,37.54,35.1,35.63,,,
2019-06-05,156,,19.45,28.88,14.5,11.19,13.74,,
2019-06-06,157,,19.48,28.88,14.5,11.19,13.74,,
2019-06-07,158,,17.32,28.88,14.5,11.19,13.74,,
2019-06-08,159,,20.10,28.88,14.5,11.19,13.74,,
2019-06-09,160,,22.57,28.88,14.5,11.19,13.74,,
2019-06-10,161,,20.07,28.88,14.5,11.19,13.74,,
2019-06-11,162,,18.97,13.16,11.45,6.74,16.51,,
2019-06-12,163,,18.57,13.16,11.45,6.74,16.51,,
2019-06-13,164,,18.12,13.16,11.45,6.74,16.51,,
2019-06-14,165,,18.40,13.16,11.45,6.74,16.51,,
2019-06-15,166,,18.34,13.16,11.45,6.74,16.51,,
2019-06-16,167,,16.95,13.16,11.45,6.74,16.51,,
2019-06-17,168,,18.80,13.16,11.45,6.74,16.51,,
2019-06-18,169,,16.58,15.72,12.26,9.37,11.89,,
2019-06-19,170,,17.69,15.72,12.26,9.37,11.89,,
2019-06-20,171,,18.43,15.72,12.26,9.37,11.89,,
2019-06-21,172,,19.99,15.72,12.26,9.37,11.89,,
2019-06-22,173,,20.55,15.72,12.26,9.37,11.89,,
2019-06-23,174,,18.31,15.72,12.26,9.37,11.89,,
2019-06-24,175,,17.92,15.72,12.26,9.37,11.89,,
2019-06-25,176,,19.11,16.99,13.76,10.13,11.89,,
2019-06-26,177,,18.14,16.99,13.76,10.13,11.89,,
2019-06-27,178,,17.12,16.99,13.76,10.13,11.89,,
2019-06-28,179,,19.96,16.99,13.76,10.13,11.89,,
2019-06-29,180,,21.04,16.99,13.76,10.13,11.89,,
2019-06-30,181,,17.10,16.99,13.76,10.13,11.89,,
2019-07-01,182,,16.76,16.99,13.76,10.13,11.89,Hueso duro,
2019-07-02,183,,17.40,17.92,14.94,11.37,21.35,,
2019-07-03,184,,14.44,17.92,14.94,11.37,21.35,,
2019-07-04,185,,15.56,17.92,14.94,11.37,21.35,,
2019-07-05,186,,17.68,17.92,14.94,11.37,21.35,,
2019-07-06,187,,16.25,17.92,14.94,11.37,21.35,,
2019-07-07,188,,18.12,17.92,14.94,11.37,21.35,,
2019-07-08,189,,17.12,17.92,14.94,11.37,21.35,Inicio periodo estrés,
2019-07-09,190,,16.79,15.31,,,,,
2019-07-10,191,,21.05,15.31,,,,,
2019-07-11,192,,22.22,15.31,13.55,9.70,13.34,,
2019-07-12,193,,12.60,15.31,,,,,
2019-07-13,194,,15.69,15.31,,,,,
2019-07-14,195,,18.14,15.31,,,,,
2019-07-15,196,,16.97,15.31,13.55,,13.34,,
2019-07-16,197,,17.30,17.74,,,,,
2019-07-17,198,,15.33,17.74,,,,,
2019-07-18,199,,17.10,17.74,16.53,14.99,8.4,,
2019-07-19,200,,20.90,17.74,,,,,
2019-07-20,201,,19.47,17.74,,,,,
2019-07-21,202,,17.89,17.74,,,,,
2019-07-22,203,,17.53,17.74,16.53,,8.4,,
2019-07-23,204,,18.27,17.74,,,,,
2019-07-24,205,,18.60,14.77,,,,,
2019-07-25,206,,17.96,14.77,15.6,15.5,14.33,,
2019-07-26,207,,21.28,14.77,,,,,
2019-07-27,208,,14.19,14.77,,,,,
2019-07-28,209,,16.61,14.77,,,,,
2019-07-29,210,,19.52,14.77,15.6,,14.33,,
2019-07-30,211,,18.63,17.62,,,,,
2019-07-31,212,,18.14,17.62,,,,,
2019-08-01,213,,17.86,17.62,16.27,16.84,12.14,,
2019-08-02,214,,18.63,17.62,,,,,
2019-08-03,215,,19.03,17.62,,,,,
2019-08-04,216,,18.88,17.62,,,,,
2019-08-05,217,,19.85,17.62,16.27,,12.14,,
2019-08-06,218,,19.75,17.58,,,,,
2019-08-07,219,,16.10,17.58,,,,,
2019-08-08,220,,19.37,17.58,17.25,19.21,11.47,,
2019-08-09,221,,18.24,17.58,,,,,
2019-08-10,222,,18.09,17.58,,,,,
2019-08-11,223,,15.82,17.58,,,,,
2019-08-12,224,,18.32,17.58,17.25,,11.47,,
2019-08-13,225,,16.79,19.51,,,,,
2019-08-14,226,,18.40,19.51,,,,,
2019-08-15,227,,18.91,19.51,21.41,15.63,8.7,,
2019-08-16,228,,18.68,19.51,,,,,
2019-08-17,229,,18.52,19.51,,,,,
2019-08-18,230,,19.26,19.51,,,,,
2019-08-19,231,,18.29,19.51,21.41,,8.7,,
2019-08-20,232,,17.38,19.51,,,,,
2019-08-21,233,,15.69,20.84,,,,,
2019-08-22,234,,19.44,20.84,24.81,13.43,8.02,,
2019-08-23,235,,18.42,20.84,,,,,
2019-08-24,236,,17.35,20.84,,,,,
2019-08-25,237,,15.87,20.84,,,,,
2019-08-26,238,,11.81,20.84,24.81,,8.02,,
2019-08-27,239,,14.39,20.84,24.81,,8.02,Comienzo periodo ,
2019-08-28,240,,16.53,16.39,17.56,,8.28,recuperacion,
2019-08-29,241,,15.87,16.39,17.56,16.03,8.28,,
2019-08-30,242,,15.97,16.39,17.56,,8.28,,
2019-08-31,243,,15.77,16.39,17.56,,8.28,,
2019-09-01,244,,17.55,16.39,17.56,,8.28,,
2019-09-02,245,,17.88,16.39,17.56,16.03,8.28,,
2019-09-03,246,,18.02,14.06,17.14,,9.08,,
2019-09-04,247,,14.52,14.06,17.14,,9.08,,
2019-09-05,248,,16.39,14.06,17.14,12.87,9.08,,
2019-09-06,249,,15.51,14.06,17.14,,9.08,,
2019-09-07,250,,15.28,14.06,17.14,,9.08,,
2019-09-08,251,,12.54,14.06,17.14,,9.08,,
2019-09-09,252,,17.44,14.06,17.14,12.87,9.08,,
2019-09-10,253,,16.71,14.48,15.33,,10.85,,
2019-09-11,254,,18.11,14.48,15.33,,10.85,,
2019-09-12,255,,20.97,14.48,15.33,14.23,10.85,,
2019-09-13,256,,16.85,14.48,15.33,,10.85,,
2019-09-14,257,,9.24,14.48,15.33,,10.85,,
2019-09-15,258,,11.96,14.48,15.33,,10.85,,
2019-09-16,259,,12.28,14.48,15.33,14.23,10.85,,
2019-09-17,260,,12.63,12.74,,,,Inicio periodo,
2019-09-18,261,,12.77,12.74,,,, de estrés,
2019-09-19,262,,13.21,12.74,13.92,10.50,6.36,,
2019-09-20,263,,8.49,12.74,,,,,
2019-09-21,264,,7.90,12.74,,,,,
2019-09-22,265,,11.55,12.74,,,,,
2019-09-23,266,,12.66,12.74,13.92,,6.36,,
2019-09-24,267,,14.52,12.74,,,,,
2019-09-25,268,,12.68,12.74,,,,,
