,P5,P11,P16,P7,P10,P15,P6,P12,P13,P8,P9,P14,,Estados estrés hídrico:
Fecha,Estado Control_1,Estado Control_2,Estado Control_3,Estado RDI45_1,Estado RDI45_2,Estado RDI45_3,Estado RDI30_1,Estado RDI30_2,Estado RDI30_3,Estado BOSCH_1,Estado BOSCH_2,Estado BOSCH_3,,1- SIN ESTRÉS
2019-04-17,1,1,1,1,1,1,1,1,1,1,1,1,,2-ESTRÉS MODERADO
2019-04-18,1,1,1,1,1,1,1,1,1,1,1,1,,3-ESTRÉS ELEVADO
2019-04-19,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-20,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-21,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-22,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-23,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-24,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-25,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-26,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-27,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-28,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-29,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-04-30,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-01,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-02,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-03,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-04,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-05,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-06,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-07,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-08,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-09,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-10,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-11,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-12,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-13,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-14,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-15,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-16,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-17,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-18,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-19,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-20,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-05-21,1,1,1,1,1,1,1,1,1,1,1,1,,
