Fecha UTC,T_Amb_Avg,H_Relat_Avg,Rad_Glob_Avg,Rad_Par_Avg,R_Neta_Avg,VPD_Avg
2019-04-17 0:00,12.75,74.74,0.151,0,-61.42,0.374
2019-04-17 0:30,12.52,77.47,0.092,0,-60.96,0.327
2019-04-17 1:00,11.99,79.37,0.053,0,-60.55,0.29
2019-04-17 1:30,11.53,82.5,0.03,0,-61.8,0.238
2019-04-17 2:00,11.86,80.7,0.009,0,-59.29,0.267
2019-04-17 2:30,11.15,80.3,0.007,0,-59.6,0.261
2019-04-17 3:00,10.05,82.8,0.003,0,-60.97,0.212
2019-04-17 3:30,9.46,84.2,0,0,-57.75,0.187
2019-04-17 4:00,9.42,83.5,0.001,0,-52.67,0.195
2019-04-17 4:30,10.04,75.52,0,0,-54.33,0.302
2019-04-17 5:00,10.58,71.09,0,0,-53.01,0.369
2019-04-17 5:30,10.46,74.95,0.095,0.087,-46.96,0.317
2019-04-17 6:00,10.66,79.75,4.458,7.646,-46.17,0.26
2019-04-17 6:30,10.9,79.75,37.7,67.34,-27.72,0.264
2019-04-17 7:00,11.63,76.68,108.6,192.1,13.08,0.32
2019-04-17 7:30,12.65,73.39,168.2,299.8,46.96,0.389
2019-04-17 8:00,13.71,71.36,235.2,425.9,88.1,0.45
2019-04-17 8:30,14.86,68.89,285.4,524.3,116.9,0.526
2019-04-17 9:00,16.26,62.48,353.7,643.9,158.3,0.695
2019-04-17 9:30,17.65,55.49,418.3,766.9,198.3,0.899
2019-04-17 10:00,18.54,54.28,404,745.4,192.7,0.976
2019-04-17 10:30,19.31,53.21,464.9,869,234.9,1.048
2019-04-17 11:00,19.92,52.62,487,907,247.5,1.102
2019-04-17 11:30,20.97,50.2,585,1109,313.1,1.239
2019-04-17 12:00,21.6,47.5,535.8,1010,279.5,1.354
2019-04-17 12:30,21.58,47.86,509.3,961,262.9,1.343
2019-04-17 13:00,21.68,45.81,608.6,1161,331.3,1.405
2019-04-17 13:30,21.52,46.75,498.3,936,254.8,1.366
2019-04-17 14:00,20.94,48.28,328.6,604.7,146.3,1.281
2019-04-17 14:30,20.63,48.22,329.5,611.2,147.1,1.258
2019-04-17 15:00,20.6,48.3,270.3,498,116.1,1.254
2019-04-17 15:30,20.32,49.78,229.6,422,90.9,1.197
2019-04-17 16:00,20.21,52.02,214.3,394.1,89.5,1.137
2019-04-17 16:30,17.36,60.98,58.89,107.7,14.47,0.78
2019-04-17 17:00,16.16,59.09,28.58,54.33,-3.344,0.751
2019-04-17 17:30,16.32,54,41.41,76.55,2.795,0.853
2019-04-17 18:00,16.16,54.86,26.68,48.05,-4.737,0.829
2019-04-17 18:30,15.94,58.43,18.56,32.2,-9.39,0.753
2019-04-17 19:00,15.85,59.68,3.795,6.426,-17.67,0.726
2019-04-17 19:30,15.72,61.22,0.451,0.557,-21.12,0.692
2019-04-17 20:00,15.48,62.74,0.331,0.022,-23.21,0.655
2019-04-17 20:30,15.39,61.53,0.331,0.012,-36.45,0.672
2019-04-17 21:00,15.37,61.58,0.33,0.007,-30.71,0.67
2019-04-17 21:30,15.39,61.62,0.332,0.01,-28.76,0.671
2019-04-17 22:00,14.97,64.99,0.33,0.005,-29.18,0.596
2019-04-17 22:30,14.54,69.25,0.331,0.006,-32.86,0.509
2019-04-17 23:00,14.14,72.7,0.329,0.01,-31.58,0.44
2019-04-17 23:30,13.86,74.95,0.317,0.004,-27.82,0.397
2019-04-18 0:00,13.73,75.83,0.308,0.003,-20.34,0.379
2019-04-18 0:30,13.91,75.71,0.317,0.005,-20.63,0.386
2019-04-18 1:00,13.86,75.41,0.321,0.007,-25.8,0.389
2019-04-18 1:30,13.66,76.12,0.31,0.001,-28.17,0.373
2019-04-18 2:00,13.51,77.09,0.299,0.002,-23.27,0.355
2019-04-18 2:30,13.48,78.05,0.298,0,-19.03,0.339
2019-04-18 3:00,13.44,77.15,0.266,0.001,-37.17,0.352
2019-04-18 3:30,13.03,78.14,0.216,0,-50.12,0.328
2019-04-18 4:00,12.1,80.8,0.194,0.001,-55.88,0.271
2019-04-18 4:30,11.31,83.8,0.121,0,-54.88,0.217
2019-04-18 5:00,11.1,84.8,0.075,0,-53.38,0.201
2019-04-18 5:30,11.12,86.1,0.174,0.115,-28.88,0.184
2019-04-18 6:00,11.59,86.4,0.719,1.51,-21.8,0.185
2019-04-18 6:30,11.44,87.9,5.042,9.98,-21.41,0.164
2019-04-18 7:00,11.55,88.5,39.15,69.41,-3.5,0.156
2019-04-18 7:30,11.77,87.9,55.87,98.3,-0.619,0.167
2019-04-18 8:00,11.84,87.9,106.9,195.8,37.45,0.168
2019-04-18 8:30,12.16,87.2,191.3,359.2,89.8,0.182
2019-04-18 9:00,12.95,82.2,366.3,683.8,212,0.267
2019-04-18 9:30,13.95,76,339.2,633.2,185.4,0.382
2019-04-18 10:00,14.18,74.27,450.8,883,239.6,0.416
2019-04-18 10:30,15.44,70.53,759.6,1439,458.9,0.517
2019-04-18 11:00,16.09,65.54,833,1583,519.8,0.63
2019-04-18 11:30,16.77,62.45,724.5,1383,444.8,0.717
2019-04-18 12:00,16.99,60.33,678.6,1318,411.1,0.768
2019-04-18 12:30,17.45,57.2,694.1,1359,417.4,0.853
2019-04-18 13:00,17.91,53.13,640.9,1246,388.9,0.962
2019-04-18 13:30,17.33,57.49,430.1,813,233.1,0.843
2019-04-18 14:00,16.35,58.55,264.1,497.1,115.7,0.77
2019-04-18 14:30,15.3,62.88,131.4,240.9,-40.91,0.647
2019-04-18 15:00,13.65,71.09,38.07,76.23,-68.57,0.454
2019-04-18 15:30,10.51,83.9,8.51,20.92,-36.66,0.205
2019-04-18 16:00,10.73,89,43.47,82.9,-2.219,0.142
2019-04-18 16:30,11.7,88.9,131.8,227.9,45.66,0.152
2019-04-18 17:00,12.46,88.9,211.9,365.4,96,0.16
2019-04-18 17:30,13.53,87.6,341.2,601.1,182.1,0.193
2019-04-18 18:00,14.51,82.3,209.7,368.7,84,0.293
2019-04-18 18:30,14.49,82.3,91.1,166.9,-4.091,0.292
2019-04-18 19:00,14.46,82.8,25.91,44.19,-42.38,0.283
2019-04-18 19:30,13.69,86.2,1.063,1.881,-64.66,0.216
2019-04-18 20:00,12.94,87.9,0.332,0.007,-67.6,0.181
2019-04-18 20:30,11.85,87.9,0.332,0,-70.46,0.167
2019-04-18 21:00,11.31,88.2,0.332,0,-69.43,0.158
2019-04-18 21:30,11.04,88.4,0.332,0,-64.68,0.152
2019-04-18 22:00,10.82,88.9,0.332,0,-65.29,0.144
2019-04-18 22:30,10.59,89.2,0.332,0,-60.96,0.138
2019-04-18 23:00,10.71,89.4,0.332,0,-30.94,0.137
2019-04-18 23:30,10.92,89.1,0.332,0,-26.56,0.143
2019-04-19 0:00,11.08,89,0.332,0,-25.89,0.145
2019-04-19 0:30,10.96,89.5,0.332,0,-27.41,0.138
2019-04-19 1:00,11.13,89.7,0.332,0,-26.54,0.136
2019-04-19 1:30,11.32,89.3,0.332,0,-18.33,0.143
2019-04-19 2:00,11.43,88.7,0.332,0,-25.87,0.152
2019-04-19 2:30,11.56,88.4,0.332,0,-30.92,0.158
2019-04-19 3:00,11.58,88.7,0.332,0,-29.48,0.154
2019-04-19 3:30,11.41,89.4,0.332,0,-32.96,0.143
2019-04-19 4:00,11.27,89.9,0.332,0,-31.99,0.135
2019-04-19 4:30,11.17,90.2,0.332,0,-29.32,0.131
2019-04-19 5:00,10.95,90.1,0.332,0,-47.46,0.129
2019-04-19 5:30,10.2,90.4,0.342,0.16,-54.18,0.12
2019-04-19 6:00,9.28,90.9,7.175,12.65,-50.21,0.106
2019-04-19 6:30,9.12,91.7,89,129.5,-0.091,0.096
2019-04-19 7:00,10.28,91.7,222.1,348.5,68.72,0.104
2019-04-19 7:30,11.49,89.9,226.9,398.8,84.7,0.136
2019-04-19 8:00,11.88,88.6,255.8,473.9,133.8,0.159
2019-04-19 8:30,13.11,84.4,432.1,813,224.4,0.236
2019-04-19 9:00,14.45,78.12,645.7,1216,371,0.36
2019-04-19 9:30,14.6,75.01,585.9,1116,337.6,0.416
2019-04-19 10:00,15.2,70.6,579.2,1116,337,0.508
2019-04-19 10:30,16.03,66.77,724.5,1312,447.8,0.606
2019-04-19 11:00,16.56,61.79,654.3,1224,396.9,0.72
2019-04-19 11:30,17.87,57.22,947,1706,608.2,0.876
2019-04-19 12:00,17.53,55.28,689.2,1321,418.4,0.896
2019-04-19 12:30,18.5,51.55,1049,2060,675.4,1.032
2019-04-19 13:00,19.36,48.76,1177,2296,749.5,1.152
2019-04-19 13:30,19.77,45.5,1008,1980,642.7,1.256
2019-04-19 14:00,19.73,44.01,914,1794,580.7,1.287
2019-04-19 14:30,19.9,43.6,527.7,1014,316.1,1.311
2019-04-19 15:00,19.46,44.02,308.2,573,163.9,1.266
2019-04-19 15:30,17.59,60.33,114.4,203,18.38,0.803
2019-04-19 16:00,14.26,83.1,105.4,182.6,-5.909,0.276
2019-04-19 16:30,14.21,82.4,168.9,339.3,16.51,0.286
2019-04-19 17:00,15.21,74.77,165.8,341.2,28.31,0.436
2019-04-19 17:30,15.23,74.16,140.5,281.8,41.13,0.447
2019-04-19 18:00,15.41,72.01,173.5,328.8,53.71,0.49
2019-04-19 18:30,14.97,71.56,61.19,104.5,-1.657,0.484
2019-04-19 19:00,14.76,75.25,7.719,11.04,-23.56,0.415
2019-04-19 19:30,13.72,74.72,0.454,0.445,-75.33,0.398
2019-04-19 20:00,12.54,81.9,0.314,0,-48.85,0.263
2019-04-19 20:30,12.29,86,0.304,0,-35.41,0.2
2019-04-19 21:00,12.52,85.5,0.307,0,-36,0.21
2019-04-19 21:30,12.89,84.5,0.319,0,-36.45,0.231
2019-04-19 22:00,12.63,85.8,0.305,0,-46.49,0.207
2019-04-19 22:30,12.03,87.9,0.319,0.002,-65.06,0.17
2019-04-19 23:00,11.39,89.2,0.308,0,-64.57,0.145
2019-04-19 23:30,10.82,89.8,0.28,0,-61.7,0.132
2019-04-20 0:00,10.49,90.3,0.256,0,-61.23,0.123
2019-04-20 0:30,10.38,90.2,0.28,0,-60.44,0.123
2019-04-20 1:00,10.18,90.2,0.254,0,-61.05,0.122
2019-04-20 1:30,9.92,90.7,0.238,0,-61.06,0.114
2019-04-20 2:00,9.7,90.8,0.091,0,-55.57,0.11
2019-04-20 2:30,9.45,91.1,0.139,0,-51.7,0.106
2019-04-20 3:00,9.46,91.4,0.173,0,-48.61,0.102
2019-04-20 3:30,9.46,91.3,0.204,0,-48.81,0.103
2019-04-20 4:00,9.32,91.5,0.207,0,-47.27,0.1
2019-04-20 4:30,9.47,91.7,0.202,0,-45.92,0.098
2019-04-20 5:00,9.62,91.5,0.212,0,-40.6,0.102
2019-04-20 5:30,9.75,91.4,0.28,0.063,-36.33,0.104
2019-04-20 6:00,9.71,91.1,2.594,4.4,-33.58,0.108
2019-04-20 6:30,9.79,91.1,20.89,34.57,-21.78,0.108
2019-04-20 7:00,10.11,91,66.29,110,6.89,0.112
2019-04-20 7:30,10.58,90.5,110.4,189.2,43.69,0.121
2019-04-20 8:00,11.08,89.2,106.7,184.2,47.17,0.142
2019-04-20 8:30,11.67,86.2,166.6,289.9,93.8,0.189
2019-04-20 9:00,12.26,81.9,162.6,283,85,0.258
2019-04-20 9:30,13.18,79.91,227.8,403.8,111.6,0.304
2019-04-20 10:00,14.02,75.91,325.3,570.5,177.8,0.386
2019-04-20 10:30,15.17,71.03,467.3,825,270.3,0.5
2019-04-20 11:00,15.74,67.99,478,894,271.6,0.572
2019-04-20 11:30,16.09,67.29,509.5,954,280.9,0.598
2019-04-20 12:00,16.62,65.23,574.6,1087,315.5,0.657
2019-04-20 12:30,17.23,62.29,654.1,1248,371.7,0.741
2019-04-20 13:00,17.93,61.13,740.8,1432,426.7,0.799
2019-04-20 13:30,18.53,59.35,662.9,1283,392.1,0.867
2019-04-20 14:00,17.96,61.46,155.9,289,71.1,0.793
2019-04-20 14:30,17.73,64.27,52.7,98.9,12.85,0.724
2019-04-20 15:00,18.09,61.52,86.5,161.7,33,0.799
2019-04-20 15:30,18.27,58.29,135.3,245.7,57.98,0.876
2019-04-20 16:00,19.77,50.16,411.6,805,214.9,1.15
2019-04-20 16:30,20.2,48.62,459.2,938,250.7,1.216
2019-04-20 17:00,19.63,49.55,236.4,477.8,111.5,1.153
2019-04-20 17:30,18.96,51.23,141.9,259.2,50.52,1.068
2019-04-20 18:00,18.82,51.19,108,191.2,30.78,1.06
2019-04-20 18:30,18.49,51.23,84.1,139.3,15.55,1.038
2019-04-20 19:00,18.02,53.11,32.11,47.43,-8.43,0.969
2019-04-20 19:30,17.42,55.84,0.842,1.115,-17.11,0.878
2019-04-20 20:00,16.99,56.79,0.332,0.04,-22.22,0.836
2019-04-20 20:30,16.46,59.25,0.332,0.017,-32.09,0.763
2019-04-20 21:00,15.74,60.62,0.33,0.005,-46.14,0.704
2019-04-20 21:30,15.44,61.82,0.331,0.006,-32.86,0.669
