,Fecha,estado real,estado estimado,error,probabilidad estado 1,probabilidad estado 2,probabilidad estado 3
LTP Control_1,2015-05-10,1.0,1.0,0.0,0.878301440076278,0.12117267480354,0.0005258851201820497
LTP Control_1,2015-05-11,1.0,1.0,0.0,0.7200947728223465,0.2756894720621078,0.0042157551155457326
LTP Control_1,2015-05-12,1.0,2.0,-1.0,0.027825587064913632,0.6757183360164605,0.296456076918626
LTP Control_1,2015-05-13,1.0,1.0,0.0,0.8734204148525297,0.12622218410826846,0.0003574010392018298
LTP Control_1,2015-05-14,1.0,1.0,0.0,0.9116100489251034,0.08813730773389096,0.00025264334100566624
LTP Control_1,2015-05-15,1.0,1.0,0.0,0.8970598393130166,0.1026979408687443,0.00024221981823931819
LTP Control_1,2015-05-16,1.0,1.0,0.0,0.9031092695343556,0.09665872752547766,0.00023200294016685534
LTP Control_1,2015-05-17,1.0,1.0,0.0,0.9166722649912397,0.08317784297607295,0.00014989203268730755
LTP Control_1,2015-05-18,1.0,1.0,0.0,0.9382868870169806,0.06164454459061299,6.856839240643669e-05
LTP Control_1,2015-05-19,1.0,1.0,0.0,0.8780552686842082,0.12154895059191939,0.00039578072387223086
LTP Control_1,2015-05-20,1.0,1.0,0.0,0.7640705069857743,0.23477554672395104,0.0011539462902745718
LTP Control_1,2015-05-21,1.0,1.0,0.0,0.86600708090272,0.13356985442387387,0.00042306467340619947
LTP Control_1,2015-05-22,1.0,1.0,0.0,0.8516977769027038,0.14789804851142788,0.000404174585868428
LTP Control_1,2015-05-23,1.0,1.0,0.0,0.8625640535159086,0.13687872676297494,0.0005572197211164646
LTP Control_1,2015-05-24,1.0,1.0,0.0,0.9538345320305318,0.04608944763311227,7.60203363560076e-05
LTP Control_1,2015-05-25,1.0,1.0,0.0,0.9063607911617223,0.0934801927219943,0.00015901611628331454
LTP Control_1,2015-05-26,1.0,1.0,0.0,0.9031349040386873,0.09669659462887527,0.00016850133243742732
LTP Control_1,2015-05-27,1.0,1.0,0.0,0.9115890009631525,0.0881885298458119,0.00022246919103545667
LTP Control_1,2015-05-28,1.0,1.0,0.0,0.9128961678411359,0.08688221548411873,0.00022161667474546957
LTP Control_1,2015-05-29,1.0,1.0,0.0,0.926533739677678,0.07340301619030538,6.324413201644711e-05
LTP Control_1,2015-05-30,1.0,1.0,0.0,0.9083727765830708,0.09143926184496279,0.00018796157196649142
LTP Control_1,2015-05-31,1.0,1.0,0.0,0.830302071931968,0.16884136900858016,0.0008565590594519271
LTP Control_1,2015-06-01,1.0,1.0,0.0,0.8939566474522187,0.10559539467126942,0.00044795787651197495
LTP Control_1,2015-06-02,1.0,1.0,0.0,0.875490801242385,0.12408967499026649,0.0004195237673484068
LTP Control_1,2015-06-03,1.0,1.0,0.0,0.9126143182808983,0.08715471835568757,0.00023096336341407923
LTP Control_1,2015-06-04,1.0,1.0,0.0,0.9175864580346498,0.08224255094482989,0.00017099102052018926
LTP Control_1,2015-06-05,1.0,1.0,0.0,0.9348328752946711,0.06501320285734993,0.00015392184797892973
LTP Control_1,2015-06-06,1.0,1.0,0.0,0.9508273081082617,0.049093759319585865,7.893257215258582e-05
LTP Control_1,2015-06-07,1.0,1.0,0.0,0.9342316343077337,0.06562783314137645,0.00014053255088983062
LTP Control_1,2015-06-08,1.0,1.0,0.0,0.904682969496963,0.09486918203521921,0.00044784846781770985
