,TDVTrain2014,TDVMeteoTrain2014,TDVrawTrain2014,TDVmeteorawTrain2014
LDA,0.7162273253680133,0.7216220311479685,0.5383431316956951,0.36673974205651844
Nearest Neighbors,0.6737740392213398,0.6174490418633329,0.5398732347237045,0.5493991231898725
Linear SVM,0.7000002952213689,0.7050107246780847,0.5393200301056483,0.4575157928489862
RBF SVM,0.5083988698583163,0.3333333333333333,0.3333333333333333,0.3333333333333333
Gaussian Process,0.6089008023726351,0.5941048873335738,0.3333333333333333,0.3333333333333333
Decision Tree,0.7165694231285887,0.7118350942192809,0.594559602300529,0.4968969867628889
Random Forest,0.7243111911687975,0.7150735345480284,0.6279159966123519,0.6042787634574068
Neural Net,0.7610652773587141,0.6949360650033266,0.6255410375649845,0.3632735394871614
AdaBoost,0.7236626145819605,0.6852881144857803,0.5883909059579937,0.5691044496604187
Naive Bayes,0.7052623999426929,0.7092887327745592,0.5771169269923601,0.570123868744653
QDA,0.71340626901053,0.7123087064333852,0.42945433822552664,0.3632004123659462
BEST,0.7610652773587141,0.7216220311479685,0.6279159966123519,0.6042787634574068
