Classifier,raw13PCA,80ZIM4Meteo,raw15PCA,raw,80ZIM4Meteo13PCA,80ZIM4Meteo15PCA
LDA,0.12228287500000001,0.11215649699999997,0.130594899,0.24836015400000006,0.10891958600000007,0.09459201899999992
Nearest Neighbors,0.11930236799999999,0.12660761200000004,0.11712441599999995,0.12099094599999999,0.12660761200000004,0.122636364
Linear SVM,0.064676061,0.11504266100000005,0.06772807999999997,0.15818047000000002,0.10990255999999998,0.11207168599999995
RBF SVM,0.0,0.014198790999999988,0.0,0.0,0.014198790999999988,0.013844403999999977
Gaussian Process,0.0,0.13598135199999994,0.0,0.0,0.13143242199999994,0.12552636300000009
Decision Tree,0.13891820299999996,0.12182768700000002,0.14314809499999998,0.16150028899999996,0.029840393000000076,0.08128219000000003
Random Forest,0.08243034400000004,0.23748455099999993,0.04025862699999999,0.189251096,0.10298374300000002,0.22080179100000003
Neural Net,0.13240836,0.128018497,0.12056075999999993,0.24478237300000005,0.11646435799999999,0.117749879
AdaBoost,0.08528995500000003,0.13133038100000005,0.096717932,0.23143484500000006,0.09824001100000002,0.09077223599999995
Naive Bayes,0.19017824500000008,0.09241677300000006,0.18486289899999997,0.280802817,0.044367085999999945,0.059186083000000056
QDA,0.21344554700000007,0.21776598199999997,0.21813739200000004,0.253396243,0.05404260399999994,0.08215367199999996
BEST,,,,,,
BEST DIFF,0.0,0.014198790999999988,0.0,0.0,0.014198790999999988,0.013844403999999977
