,rawTrain20143,rawTrain20146,rawTrain20149,80ZIM4MeteoTrain20143,80ZIM4MeteoTrain20146,80ZIM4MeteoTrain20149,15ZIM4MeteoTrain20143,15ZIM4MeteoTrain20146,15ZIM4MeteoTrain20149
CNN,0.3358308024373006,0.3527343479869263,0.36554914872418015,0.34820398090944743,0.47147454132129235,0.5245780469279063,0.3865393813976205,0.42289332664389373,0.44895746785456114
LDA,0.8392874265916274,0.8457026702600228,0.825279046044884,0.7556944101783459,0.802099971913956,0.8237923754629873,0.6823881804298099,0.7022063147989447,0.7108775955750937
Nearest Neighbors,0.7731504438768461,0.7485140516494178,0.7444719991786607,0.7686371611382562,0.7582260902546228,0.7602777359183475,0.7705594872656789,0.7755840256823268,0.7547139727098946
Linear SVM,0.8456738720979012,0.84374459768513,0.8562806440626504,0.7295816890601116,0.7394409276876384,0.7461992478441192,0.6944193252963249,0.7058430974345679,0.7234567469510512
RBF SVM,0.8457660888623231,0.8453783289105484,0.8447997904197649,0.8457660888623231,0.8457660888623231,0.8457660888623231,0.8457660888623231,0.8457660888623231,0.8457660888623231
Gaussian Process,0.8602580950510803,0.8601241518209027,0.8600568988124732,0.7843271420986934,0.7979242733036149,0.7947195910866411,0.8254046176874447,0.4976190476190476,0.831591260007308
Decision Tree,0.7020051841510084,0.6902813620079243,0.6889420357049311,0.724835560689676,0.706553210250846,0.7190483841338579,0.635018082509888,0.6351425626794885,0.6381469635329454
Random Forest,0.6412151353936469,0.6157095324737036,0.5859985211074736,0.7103727975689971,0.6772010536667491,0.6533953085232289,0.5521065039092923,0.5217822075310607,0.49335136052762274
Neural Net,0.6169768557779675,0.569736379743014,0.6966869829480994,0.7358130799711997,0.7978923864415622,0.8039630105238212,0.7532812456667871,0.8177860675617392,0.8419061887305119
AdaBoost,0.5787770571307571,0.542926759340259,0.5306957782983334,0.7062525819455264,0.6837620255879066,0.6817374395471715,0.6331826943694986,0.6282282747247208,0.6447351972436386
Naive Bayes,0.540853980705649,0.5383408339819944,0.535332298026114,0.669172451543341,0.6503899239116258,0.6363022084234312,0.6801748901706608,0.6817803191246755,0.6679695003778564
QDA,0.8376808121117291,0.8294631507266025,0.8420762222245988,0.7940989662467541,0.6385999867171416,0.4846151291757987,0.7175640947871814,0.7630413264934613,0.7907149694850761
BEST,0.8602580950510803,0.8601241518209027,0.8600568988124732,0.8457660888623231,0.8457660888623231,0.8457660888623231,0.8457660888623231,0.8457660888623231,0.8457660888623231
