Classifier,RAW,13PCA,15PCA,MeteoRAW,MeteoRAW13PCA,MeteoRAW15PCA,80ZIM4Meteo,80ZIM4Meteo13PCA,,train 14
LDA,0.40,0.63,0.63,0.39,0.65,0.66,0.63,0.69,,"val 15,16,19"
Nearest Neighbors,0.60,0.60,0.59,0.48,0.47,0.48,0.66,0.66,,
Linear SVM,0.52,0.63,0.60,0.45,0.61,0.63,0.69,0.69,,probar otros años train
RBF SVM,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.35,,probar 15ZIM 4meteo
Gaussian Process,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.68,,
Decision Tree,0.54,0.60,0.61,0.46,0.59,0.60,0.62,0.56,,
Random Forest,0.53,0.45,0.41,0.41,0.37,0.39,0.60,0.40,,
Neural Net,0.65,0.57,0.61,0.48,0.42,0.49,0.67,0.68,,
AdaBoost,0.49,0.63,0.62,0.49,0.60,0.61,0.66,0.62,,
Naive Bayes,0.55,0.48,0.45,0.42,0.55,0.52,0.60,0.54,,
QDA,0.33,0.49,0.48,0.34,0.53,0.53,0.41,0.54,,
BEST,0.65,0.63,0.63,0.49,0.65,0.66,0.69,0.69,,
