Fecha,TDV Control1,TDV Control2,TDV 45RDI-PB1,TDV 45RDI-PB2,TDV 45RDI-CC1,TDV 45RDI-CC2
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-11,,,,,,
2015-04-12,,,,,,
2015-04-13,,,,,,
2015-04-14,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-18,,,,,,
2015-04-19,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-25,,,,,,
2015-04-26,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-01,,,,,,
2015-05-02,,,,,,
2015-05-03,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-09,,,,,,
2015-05-10,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,,,,,,
2015-05-15,,,,,,
2015-05-16,,,,,,
2015-05-17,,,,,,
2015-05-18,,,,,,
2015-05-19,,,,,,
2015-05-20,,,,,,
2015-05-21,,,,,,
2015-05-22,,,,,,
2015-05-23,,,,,,
2015-05-24,,,,,,
2015-05-25,,,,,,
2015-05-26,,,,,,
2015-05-27,,,,,,
2015-05-28,,,,,,
2015-05-29,,,,,,
2015-05-30,,,,,,
2015-05-31,,,,,,
2015-06-01,,,,,,
2015-06-02,,,,,,
2015-06-03,1,,1,1,1,1
2015-06-04,2,,2,2,2,2
2015-06-05,1,,2,1,1,1
2015-06-06,1,,1,1,1,1
2015-06-07,1,,2,2,2,2
2015-06-08,2,,2,1,2,2
2015-06-09,2,,1,1,1,1
2015-06-10,1,,2,2,2,2
2015-06-11,1,,1,1,1,1
2015-06-12,1,,1,1,1,1
2015-06-13,1,,1,1,1,2
2015-06-14,2,,1,2,1,1
2015-06-15,1,,1,1,1,1
2015-06-16,1,1,2,1,1,1
2015-06-17,2,2,1,2,2,2
2015-06-18,2,2,2,2,2,2
2015-06-19,2,2,2,2,1,2
2015-06-20,2,2,2,1,2,1
2015-06-21,2,2,2,2,2,2
2015-06-22,1,1,1,2,1,1
2015-06-23,1,1,1,1,1,
2015-06-24,2,2,2,2,2,
2015-06-25,2,2,,,,
2015-06-26,2,2,,,,
2015-06-27,2,2,,2,,
2015-06-28,2,2,3,2,3,2
2015-06-29,1,1,3,2,2,2
2015-06-30,1,1,1,3,3,1
2015-07-01,1,1,2,1,1,2
2015-07-02,1,1,1,,2,1
2015-07-03,2,2,3,1,1,2
2015-07-04,2,2,3,2,2,2
2015-07-05,2,2,,2,3,3
2015-07-06,2,2,,2,3,3
2015-07-07,2,2,,3,3,3
2015-07-08,2,2,,2,2,2
2015-07-09,1,1,,3,3,3
2015-07-10,1,1,,3,3,3
2015-07-11,1,1,,2,2,2
2015-07-12,2,2,,3,3,3
2015-07-13,2,2,,3,3,3
2015-07-14,2,1,,3,3,3
2015-07-15,1,1,,2,3,2
2015-07-16,2,2,,3,3,3
2015-07-17,1,1,,3,3,3
2015-07-18,1,1,2,3,3,2
2015-07-19,1,1,3,3,2,3
2015-07-20,2,1,3,2,3,2
2015-07-21,2,2,2,3,3,3
2015-07-22,2,1,3,3,2,2
2015-07-23,2,2,3,2,3,3
2015-07-24,1,1,2,3,3,3
2015-07-25,1,1,3,3,3,2
2015-07-26,1,1,3,3,2,3
2015-07-27,2,2,3,3,3,3
